,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
0,51,50|+|1,five,fünf,cinco,cinq,lima,cinque,五,오,penki,pieci,pięć,пять,beş,ห้า,năm
1,41,40|+|1,fifty-seven,siebenundfünfzig,cincuenta y siete,cinquante-sept,lima puluh tujuh,cinquantasette,五十七,오십칠,penkiasdešimt septyni,piecdesmit septiņi,pięćdziesiąt siedem,пятьдесят семь,elliyedi,ห้าสิบเจ็ด,năm mươi bảy
2,41,40|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
3,86,80|+|6,ninety-three,dreiundneunzig,noventa y tres,quatre-vingt-treize,sembilan puluh tiga,novantatré,九十三,구십삼,devyniasdešimt trys,deviņdesmit trīs,dziewięćdzisiąt trzy,девяносто три,doksanüç,เก้าสิบสาม,chín mươi ba
4,54,50|+|4,eighty-one,einundachtzig,ochenta y uno,quatre-vingt-un,delapan puluh satu,ottantuno,八十一,팔십일,aštuoniasdešimt vienas,astoņdesmit viens,osiemdziesiąt jeden,восемьдесят один,seksenbir,แปดสิบเอ็ด,tám mươi mốt
5,54,50|+|4,thirty-eight,achtunddreißig,treinta y ocho,trente-huit,tiga puluh delapan,trentotto,三十八,삼십팔,trisdešimt aštuoni,trīsdesmit astoņi,trzydzieści osiem,тридцать восемь,otuzsekiz,สามสิบแปด,ba mươi tám
6,10,10|+|0,seventy-six,sechsundsiebzig,setenta y seis,soixante-seize,tujuh puluh enam,settantasei,七十六,칠십육,septyniasdešimt šeši,septiņdesmit seši,siedemdziesiąt sześć,семьдесят шесть,yetmişaltı,เจ็ดสิบหก,bảy mươi sáu
7,10,10|+|0,fifty,fünfzig,cincuenta,cinquante,lima puluh,cinquanta,五十,오십,penkiasdešimt,piecdesmit,pięćdziesiąt,пятьдесят,elli,ห้าสิบ,năm mươi
8,26,20|+|6,sixty-eight,achtundsechzig,sesenta y ocho,soixante-huit,enam puluh delapan,sessantotto,六十八,육십팔,šešiasdešimt aštuoni,sešdesmit astoņi,sześćdziesiąt osiem,шестьдесят восемь,altmışsekiz,หกสิบแปด,sáu mươi tám
9,26,20|+|6,thirty-four,vierunddreißig,treinta y cuatro,trente-quatre,tiga puluh empat,trentaquattro,三十四,삼십사,trisdešimt keturi,trīsdesmit četri,trzydzieści cztery,тридцать четыре,otuzdört,สามสิบสี่,ba mươi bốn
10,26,20|+|6,eighteen,achtzehn,dieciocho,dix-huit,delapan belas,diciotto,十八,십팔,aštuoniolika,astoņpadsmit,osiemnaście,восемнадцать,onsekiz,สิบแปด,mười tám
11,74,70|+|4,thirty-three,dreiunddreißig,treinta y tres,trente-trois,tiga puluh tiga,trentatré,三十三,삼십삼,trisdešimt trys,trīsdesmit trīs,trzydzieści trzy,тридцать три,otuzüç,สามสิบสาม,ba mươi ba
12,44,40|+|4,ten,zehn,diez,dix,sepuluh,dieci,十,십,dešimt,desmit,dziesięć,десять,on,สิบ,mười
13,18,10|+|8,sixty-three,dreiundsechzig,sesenta y tres,soixante-trois,enam puluh tiga,sessantatré,六十三,육십삼,šešiasdešimt trys,sešdesmit trīs,sześćdziesiąt trzy,шестьдесят три,altmışüç,หกสิบสาม,sáu mươi ba
14,62,60|+|2,eighty-four,vierundachtzig,ochenta y cuatro,quatre-vingt-quatre,delapan puluh empat,ottantaquattro,八十四,팔십사,aštuoniasdešimt keturi,astoņdesmit četri,osiemdziesiąt cztery,восемьдесят четыре,seksendört,แปดสิบสี่,tám mươi bốn
15,14,10|+|4,forty-two,zweiundvierzig,cuarenta y dos,quarante-deux,empat puluh dua,quarantadue,四十二,사십이,keturiasdešimt du,četrdesmit divi,czterdzieści dwa,сорок два,kırkiki,สี่สิบสอง,bốn mươi hai
16,28,20|+|8,eleven,elf,once,onze,sebelas,undici,十一,십일,vienuolika,vienpadsmit,jedenaście,одиннадцать,onbir,สิบเอ็ด,mười một
17,15,10|+|5,zero,null,cero,zéro,nol,zero,零,영,nulis,nulle,zero,ноль,,ศูนย์,không
18,67,60|+|7,thirty-six,sechsunddreißig,treinta y seis,trente-six,tiga puluh enam,trentasei,三十六,삼십육,trisdešimt šeši,trīsdesmit seši,trzydzieści sześć,тридцать шесть,otuzaltı,สามสิบหก,ba mươi sáu
19,67,60|+|7,twenty-eight,achtundzwanzig,veintiocho,vingt-huit,dua puluh delapan,ventotto,二十八,이십팔,dvidešimt aštuoni,divdesmit astoņi,dwadzieścia osiem,двадцать восемь,yirmisekiz,ยี่สิบแปด,hai mươi tám
20,64,60|+|4,fifteen,fünfzehn,quince,quinze,lima belas,quindici,十五,십오,penkiolika,piecpadsmit,piętnaście,пятнадцать,onbeş,สิบห้า,mười lăm
21,26,20|+|6,sixty-eight,achtundsechzig,sesenta y ocho,soixante-huit,enam puluh delapan,sessantotto,六十八,육십팔,šešiasdešimt aštuoni,sešdesmit astoņi,sześćdziesiąt osiem,шестьдесят восемь,altmışsekiz,หกสิบแปด,sáu mươi tám
22,26,20|+|6,thirty-four,vierunddreißig,treinta y cuatro,trente-quatre,tiga puluh empat,trentaquattro,三十四,삼십사,trisdešimt keturi,trīsdesmit četri,trzydzieści cztery,тридцать четыре,otuzdört,สามสิบสี่,ba mươi bốn
23,26,20|+|6,eighteen,achtzehn,dieciocho,dix-huit,delapan belas,diciotto,十八,십팔,aštuoniolika,astoņpadsmit,osiemnaście,восемнадцать,onsekiz,สิบแปด,mười tám
24,54,50|+|4,eighty-one,einundachtzig,ochenta y uno,quatre-vingt-un,delapan puluh satu,ottantuno,八十一,팔십일,aštuoniasdešimt vienas,astoņdesmit viens,osiemdziesiąt jeden,восемьдесят один,seksenbir,แปดสิบเอ็ด,tám mươi mốt
25,54,50|+|4,thirty-eight,achtunddreißig,treinta y ocho,trente-huit,tiga puluh delapan,trentotto,三十八,삼십팔,trisdešimt aštuoni,trīsdesmit astoņi,trzydzieści osiem,тридцать восемь,otuzsekiz,สามสิบแปด,ba mươi tám
26,31,30|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
27,61,60|+|1,twenty-three,dreiundzwanzig,veintitrés,vingt-trois,dua puluh tiga,ventitré,二十三,이십삼,dvidešimt trys,divdesmit trīs,dwadzieścia trzy,двадцать три,yirmiüç,ยี่สิบสาม,hai mươi ba
28,81,80|+|1,fifty-two,zweiundfünfzig,cincuenta y dos,cinquante-deux,lima puluh dua,cinquantadue,五十二,오십이,penkiasdešimt du,piecdesmit divi,pięćdziesiąt dwa,пятьдесят два,elliiki,ห้าสิบสอง,năm mươi hai
29,33,30|+|3,fifty-five,fünfundfünfzig,cincuenta y cinco,cinquante-cinq,lima puluh lima,cinquantacinque,五十五,오십오,penkiasdešimt penki,piecdesmit pieci,pięćdziesiąt pięć,пятьдесят пять,ellibeş,ห้าสิบห้า,năm mươi lăm
30,89,80|+|9,zero,null,cero,zéro,nol,zero,零,영,nulis,nulle,zero,ноль,,ศูนย์,không
31,26,20|+|6,sixty-eight,achtundsechzig,sesenta y ocho,soixante-huit,enam puluh delapan,sessantotto,六十八,육십팔,šešiasdešimt aštuoni,sešdesmit astoņi,sześćdziesiąt osiem,шестьдесят восемь,altmışsekiz,หกสิบแปด,sáu mươi tám
32,26,20|+|6,thirty-four,vierunddreißig,treinta y cuatro,trente-quatre,tiga puluh empat,trentaquattro,三十四,삼십사,trisdešimt keturi,trīsdesmit četri,trzydzieści cztery,тридцать четыре,otuzdört,สามสิบสี่,ba mươi bốn
33,26,20|+|6,eighteen,achtzehn,dieciocho,dix-huit,delapan belas,diciotto,十八,십팔,aštuoniolika,astoņpadsmit,osiemnaście,восемнадцать,onsekiz,สิบแปด,mười tám
34,73,70|+|3,seventy-six,sechsundsiebzig,setenta y seis,soixante-seize,tujuh puluh enam,settantasei,七十六,칠십육,septyniasdešimt šeši,septiņdesmit seši,siedemdziesiąt sześć,семьдесят шесть,yetmişaltı,เจ็ดสิบหก,bảy mươi sáu
35,78,70|+|8,eleven,elf,once,onze,sebelas,undici,十一,십일,vienuolika,vienpadsmit,jedenaście,одиннадцать,onbir,สิบเอ็ด,mười một
36,79,70|+|9,ninety-seven,siebenundneunzig,noventa y siete,quatre-vingt-dix-sept,sembilan puluh tujuh,novantasette,九十七,구십칠,devyniasdešimt septyni,deviņdesmit septiņi,dziewięćdzisiąt siedem,девяносто семь,doksanyedi,เก้าสิบเจ็ด,chín mươi bảy
37,79,70|+|9,zero,null,cero,zéro,nol,zero,零,영,nulis,nulle,zero,ноль,,ศูนย์,không
38,79,70|+|9,ninety-seven,siebenundneunzig,noventa y siete,quatre-vingt-dix-sept,sembilan puluh tujuh,novantasette,九十七,구십칠,devyniasdešimt septyni,deviņdesmit septiņi,dziewięćdzisiąt siedem,девяносто семь,doksanyedi,เก้าสิบเจ็ด,chín mươi bảy
39,79,70|+|9,zero,null,cero,zéro,nol,zero,零,영,nulis,nulle,zero,ноль,,ศูนย์,không
40,19,10|+|9,twenty-one,einundzwanzig,veintiuno,vingt et un,dua puluh satu,ventiuno,二十一,이십일,dvidešimt vienas,divdesmit viens,dwadzieścia jeden,двадцать один,yirmibir,ยี่สิบเอ็ด,hai mươi mốt
41,50,50|+|0,fifty-six,sechsundfünfzig,cincuenta y seis,cinquante-six,lima puluh enam,cinquantasei,五十六,오십육,penkiasdešimt šeši,piecdesmit seši,pięćdziesiąt sześć,пятьдесят шесть,ellialtı,ห้าสิบหก,năm mươi sáu
42,34,30|+|4,fifty-six,sechsundfünfzig,cincuenta y seis,cinquante-six,lima puluh enam,cinquantasei,五十六,오십육,penkiasdešimt šeši,piecdesmit seši,pięćdziesiąt sześć,пятьдесят шесть,ellialtı,ห้าสิบหก,năm mươi sáu
43,34,30|+|4,sixty-seven,siebenundsechzig,sesenta y siete,soixante-sept,enam puluh tujuh,sessantasette,六十七,육십칠,šešiasdešimt septyni,sešdesmit septiņi,sześćdziesiąt siedem,шестьдесят семь,altmışyedi,หกสิบเจ็ด,sáu mươi bảy
44,10,10|+|0,seventy-six,sechsundsiebzig,setenta y seis,soixante-seize,tujuh puluh enam,settantasei,七十六,칠십육,septyniasdešimt šeši,septiņdesmit seši,siedemdziesiąt sześć,семьдесят шесть,yetmişaltı,เจ็ดสิบหก,bảy mươi sáu
45,10,10|+|0,fifty,fünfzig,cincuenta,cinquante,lima puluh,cinquanta,五十,오십,penkiasdešimt,piecdesmit,pięćdziesiąt,пятьдесят,elli,ห้าสิบ,năm mươi
46,59,50|+|9,eighty-six,sechsundachtzig,ochenta y seis,quatre-vingt-six,delapan puluh enam,ottantasei,八十六,팔십육,aštuoniasdešimt šeši,astoņdesmit seši,osiemdziesiąt sześć,восемьдесят шесть,seksenaltı,แปดสิบหก,tám mươi sáu
47,72,70|+|2,twenty-four,vierundzwanzig,veinticuatro,vingt-quatre,dua puluh empat,ventiquattro,二十四,이십사,dvidešimt keturi,divdesmit četri,dwadzieścia cztery,двадцать четыре,yirmidört,ยี่สิบสี่,hai mươi bốn
