,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
0,10,10|+|0,ten,zehn,diez,dix,sepuluh,dieci,十,십,dešimt,desmit,dziesięć,десять,on,สิบ,mười
1,11,10|+|1,eleven,elf,once,onze,sebelas,undici,十一,십일,vienuolika,vienpadsmit,jedenaście,одиннадцать,onbir,สิบเอ็ด,mười một
2,12,10|+|2,twelve,zwölf,doce,douze,dua belas,dodici,十二,십이,dvylika,divpadsmit,dwanaście,двенадцать,oniki,สิบสอง,mười hai
3,13,10|+|3,thirteen,dreizehn,trece,treize,tiga belas,tredici,十三,십삼,trylika,trīspadsmit,trzynaście,тринадцать,onüç,สิบสาม,mười ba
4,14,10|+|4,fourteen,vierzehn,catorce,quatorze,empat belas,quattordici,十四,십사,keturiolika,četrpadsmit,czternaście,четырнадцать,ondört,สิบสี่,mười bốn
5,15,10|+|5,fifteen,fünfzehn,quince,quinze,lima belas,quindici,十五,십오,penkiolika,piecpadsmit,piętnaście,пятнадцать,onbeş,สิบห้า,mười lăm
6,16,10|+|6,sixteen,sechzehn,dieciseis,seize,enam belas,sedici,十六,십육,šešiolika,sešpadsmit,szesnaście,шестнадцать,onaltı,สิบหก,mười sáu
7,17,10|+|7,seventeen,siebzehn,diecisiete,dix-sept,tujuh belas,diciassette,十七,십칠,septyniolika,septiņpadsmit,siedemnaście,семнадцать,onyedi,สิบเจ็ด,mười bảy
8,18,10|+|8,eighteen,achtzehn,dieciocho,dix-huit,delapan belas,diciotto,十八,십팔,aštuoniolika,astoņpadsmit,osiemnaście,восемнадцать,onsekiz,สิบแปด,mười tám
9,19,10|+|9,nineteen,neunzehn,diecinueve,dix-neuf,sembilan belas,diciannove,十九,십구,devyniolika,deviņpadsmit,dziewiętnaście,девятнадцать,ondokuz,สิบเก้า,mười chín
10,20,20|+|0,twenty,zwanzig,veinte,vingt,dua puluh,venti,二十,이십,dvidešimt,divdesmit,dwadzieścia,двадцать,yirmi,ยี่สิบ,hai mươi
11,21,20|+|1,twenty-one,einundzwanzig,veintiuno,vingt et un,dua puluh satu,ventiuno,二十一,이십일,dvidešimt vienas,divdesmit viens,dwadzieścia jeden,двадцать один,yirmibir,ยี่สิบเอ็ด,hai mươi mốt
12,22,20|+|2,twenty-two,zweiundzwanzig,veintidós,vingt-deux,dua puluh dua,ventidue,二十二,이십이,dvidešimt du,divdesmit divi,dwadzieścia dwa,двадцать два,yirmiiki,ยี่สิบสอง,hai mươi hai
13,23,20|+|3,twenty-three,dreiundzwanzig,veintitrés,vingt-trois,dua puluh tiga,ventitré,二十三,이십삼,dvidešimt trys,divdesmit trīs,dwadzieścia trzy,двадцать три,yirmiüç,ยี่สิบสาม,hai mươi ba
14,24,20|+|4,twenty-four,vierundzwanzig,veinticuatro,vingt-quatre,dua puluh empat,ventiquattro,二十四,이십사,dvidešimt keturi,divdesmit četri,dwadzieścia cztery,двадцать четыре,yirmidört,ยี่สิบสี่,hai mươi bốn
15,25,20|+|5,twenty-five,fünfundzwanzig,veinticinco,vingt-cinq,dua puluh lima,venticinque,二十五,이십오,dvidešimt penki,divdesmit pieci,dwadzieścia pięć,двадцать пять,yirmibeş,ยี่สิบห้า,hai mươi lăm
16,26,20|+|6,twenty-six,sechsundzwanzig,veintiséis,vingt-six,dua puluh enam,ventisei,二十六,이십육,dvidešimt šeši,divdesmit seši,dwadzieścia sześć,двадцать шесть,yirmialtı,ยี่สิบหก,hai mươi sáu
17,27,20|+|7,twenty-seven,siebenundzwanzig,veintisiete,vingt-sept,dua puluh tujuh,ventisette,二十七,이십칠,dvidešimt septyni,divdesmit septiņi,dwadzieścia siedem,двадцать семь,yirmiyedi,ยี่สิบเจ็ด,hai mươi bảy
18,28,20|+|8,twenty-eight,achtundzwanzig,veintiocho,vingt-huit,dua puluh delapan,ventotto,二十八,이십팔,dvidešimt aštuoni,divdesmit astoņi,dwadzieścia osiem,двадцать восемь,yirmisekiz,ยี่สิบแปด,hai mươi tám
19,29,20|+|9,twenty-nine,neunundzwanzig,veintinueve,vingt-neuf,dua puluh sembilan,ventinove,二十九,이십구,dvidešimt devyni,divdesmit deviņi,dwadzieścia dziewięć,двадцать девять,yirmidokuz,ยี่สิบเก้า,hai mươi chín
20,30,30|+|0,thirty,dreißig,treinta,trente,tiga puluh,trenta,三十,삼십,trisdešimt,trīsdesmit,trzydzieści,тридцать,otuz,สามสิบ,ba mươi
21,31,30|+|1,thirty-one,einunddreißig,treinta y uno,trente et un,tiga puluh satu,trentuno,三十一,삼십일,trisdešimt vienas,trīsdesmit viens,trzydzieści jeden,тридцать один,otuzbir,สามสิบเอ็ด,ba mươi mốt
22,32,30|+|2,thirty-two,zweiunddreißig,treinta y dos,trente-deux,tiga puluh dua,trentadue,三十二,삼십이,trisdešimt du,trīsdesmit divi,trzydzieści dwa,тридцать два,otuziki,สามสิบสอง,ba mươi hai
23,33,30|+|3,thirty-three,dreiunddreißig,treinta y tres,trente-trois,tiga puluh tiga,trentatré,三十三,삼십삼,trisdešimt trys,trīsdesmit trīs,trzydzieści trzy,тридцать три,otuzüç,สามสิบสาม,ba mươi ba
24,34,30|+|4,thirty-four,vierunddreißig,treinta y cuatro,trente-quatre,tiga puluh empat,trentaquattro,三十四,삼십사,trisdešimt keturi,trīsdesmit četri,trzydzieści cztery,тридцать четыре,otuzdört,สามสิบสี่,ba mươi bốn
25,35,30|+|5,thirty-five,fünfunddreißig,treinta y cinco,trente-cinq,tiga puluh lima,trentacinque,三十五,삼십오,trisdešimt penki,trīsdesmit pieci,trzydzieści pięć,тридцать пять,otuzbeş,สามสิบห้า,ba mươi lăm
26,36,30|+|6,thirty-six,sechsunddreißig,treinta y seis,trente-six,tiga puluh enam,trentasei,三十六,삼십육,trisdešimt šeši,trīsdesmit seši,trzydzieści sześć,тридцать шесть,otuzaltı,สามสิบหก,ba mươi sáu
27,37,30|+|7,thirty-seven,siebenunddreißig,treinta y siete,trente-sept,tiga puluh tujuh,trentasette,三十七,삼십칠,trisdešimt septyni,trīsdesmit septiņi,trzydzieści siedem,тридцать семь,otuzyedi,สามสิบเจ็ด,ba mươi bảy
28,38,30|+|8,thirty-eight,achtunddreißig,treinta y ocho,trente-huit,tiga puluh delapan,trentotto,三十八,삼십팔,trisdešimt aštuoni,trīsdesmit astoņi,trzydzieści osiem,тридцать восемь,otuzsekiz,สามสิบแปด,ba mươi tám
29,39,30|+|9,thirty-nine,neununddreißig,treinta y nueve,trente-neuf,tiga puluh sembilan,trentanove,三十九,삼십구,trisdešimt devyni,trīsdesmit deviņi,trzydzieści dziewięć,тридцать девять,otuzdokuz,สามสิบเก้า,ba mươi chín
30,40,40|+|0,forty,vierzig,cuarenta,quarante,empat puluh,quaranta,四十,사십,keturiasdešimt,četrdesmit,czterdzieści,сорок,kırk,สี่สิบ,bốn mươi
