	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Abe/020424.xml	29	4.77	187	57	0	0	8	2	0	0	0	11	3	0	0	0	1	0	1	0	0	0	1	0
1	Abe/020500.xml	29	4.54	248	76	208	42	20	3	1	4	0	1	0	0	0	0	4	0	2	0	0	0	1	0
2	Abe/020507.xml	29	5.04	345	101	88	20	16	2	1	6	2	1	0	0	0	0	5	0	12	0	0	0	1	0
3	Abe/020510.xml	29	4.65	201	56	107	22	12	8	4	12	0	0	1	0	0	0	5	0	0	0	2	0	0	0
4	Abe/020514.xml	29	4.46	424	129	369	80	24	1	6	12	0	0	1	1	0	0	6	0	3	0	0	0	4	0
5	Abe/020516.xml	30	5.38	132	38	131	20	8	3	1	6	0	0	0	0	0	0	0	0	1	0	0	0	3	0
6	Abe/020520.xml	30	4.2	343	110	220	51	11	2	5	6	0	1	0	0	0	0	10	0	1	1	0	0	1	0
7	Abe/020522.xml	30	3.69	228	89	4	1	4	0	0	2	0	11	2	0	0	0	1	0	2	0	0	0	0	0
8	Abe/020523.xml	30	5.12	322	97	22	3	1	2	0	0	0	4	0	6	0	0	0	0	0	0	0	1	0	0
9	Abe/020526.xml	30	5.95	357	76	0	0	12	1	1	3	0	3	2	5	0	0	4	0	2	0	0	3	0	0
10	Abe/020529.xml	30	4.96	493	127	346	68	25	9	8	21	4	0	0	0	0	0	5	0	7	0	0	0	0	0
11	Abe/020604.xml	30	4.91	262	73	151	28	20	6	5	10	0	0	0	0	0	0	6	0	3	0	0	0	0	0
12	Abe/020606.xml	30	5.46	471	129	184	35	25	1	7	20	1	0	0	0	0	0	10	0	6	0	0	1	0	0
13	Abe/020610.xml	30	5.99	471	113	122	26	24	9	21	13	1	0	0	0	0	0	6	0	6	0	0	0	4	0
14	Abe/020614a.xml	30	4.88	465	124	310	77	29	7	8	10	1	0	0	0	0	0	11	0	3	0	0	0	0	0
15	Abe/020614b.xml	30	5.08	190	49	193	44	9	0	4	11	2	0	0	0	0	0	7	0	0	0	0	0	0	0
16	Abe/020614c.xml	30	6.24	638	141	198	40	23	4	20	37	2	1	0	0	0	0	17	0	4	0	4	0	2	0
17	Abe/020618.xml	31	7.0	570	121	133	28	39	4	4	10	1	0	0	0	0	0	14	0	2	0	0	1	2	0
18	Abe/020700.xml	31	6.45	884	207	135	31	56	3	10	30	6	0	0	0	0	0	21	0	10	2	0	3	1	0
19	Abe/020704.xml	31	5.62	455	120	350	68	41	8	8	4	1	0	0	0	0	0	7	0	0	0	0	0	8	0
20	Abe/020707.xml	31	6.0	982	214	626	128	56	6	8	31	0	1	2	0	0	2	23	0	22	1	6	0	1	0
21	Abe/020711.xml	31	5.39	954	254	945	185	61	7	16	10	0	4	7	1	0	0	12	0	17	0	0	1	2	0
22	Abe/020714.xml	31	5.69	467	112	304	68	27	3	1	15	0	0	9	0	0	0	5	0	11	0	1	4	1	0
23	Abe/020715.xml	31	5.92	836	195	641	120	36	6	10	11	3	2	11	2	0	1	9	0	11	1	0	2	1	0
