	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Adam/020304.xml	27	2.66	2803	1268	1830	448	30	6	81	15	0	1	0	1	0	0	25	0	0	0	0	0	0	0
1	Adam/020318.xml	28	2.64	2903	1284	2605	634	16	12	29	19	1	0	0	0	0	0	15	0	0	0	0	0	1	0
2	Adam/020403.xml	28	2.94	2127	862	1966	415	9	6	14	23	1	0	0	0	0	0	17	0	0	0	0	0	0	0
3	Adam/020415.xml	28	2.41	1563	783	1393	343	9	7	5	10	0	1	0	0	0	0	14	0	0	0	1	0	0	0
4	Adam/020430.xml	29	2.78	2033	860	1648	386	28	1	1	23	1	1	0	0	1	2	20	0	0	0	0	0	0	0
5	Adam/020512.xml	29	2.94	1981	835	1130	265	19	16	0	12	0	0	1	0	0	1	54	0	0	0	0	0	0	0
6	Adam/020603.xml	30	3.38	2369	873	1803	447	36	4	4	18	2	0	2	0	0	0	50	0	0	0	0	0	1	0
7	Adam/020617.xml	31	3.7	2070	665	1663	348	57	15	4	16	0	0	0	0	0	2	56	0	2	0	0	0	0	0
8	Adam/020701.xml	31	3.14	2366	880	2045	490	25	22	2	12	0	1	0	0	0	0	64	0	0	0	0	1	2	0
9	Adam/020714.xml	31	3.37	2660	972	1928	447	36	25	24	50	3	2	0	0	0	0	38	0	1	0	0	5	2	0
10	Adam/020801.xml	32	3.55	2508	894	1544	384	16	63	10	34	2	4	12	5	0	1	67	0	0	0	0	2	2	0
11	Adam/020816.xml	33	3.2	1954	755	1486	361	26	51	8	14	0	0	3	0	0	0	29	0	3	0	0	0	0	0
12	Adam/020904.xml	33	3.07	1388	546	1202	303	1	13	2	19	2	4	1	1	1	1	46	0	2	0	0	0	0	0
13	Adam/020918.xml	34	3.21	1504	590	1627	367	7	23	6	26	3	0	1	0	0	0	56	0	4	2	0	0	0	0
14	Adam/021002.xml	34	3.49	2142	775	1184	284	70	27	8	64	4	5	7	0	7	1	49	0	9	0	0	0	0	0
15	Adam/021016.xml	35	3.34	1744	660	1117	273	55	48	21	49	2	4	3	0	1	0	122	0	11	0	0	0	0	0
16	Adam/021030.xml	35	3.93	2682	861	2138	473	86	83	38	86	5	24	8	6	6	4	79	0	6	0	0	7	5	0
17	Adam/021113.xml	35	3.3	2606	979	2057	486	85	75	15	69	10	11	4	7	1	2	132	0	11	6	0	5	2	0
18	Adam/021128.xml	36	4.26	3679	1046	2510	540	158	120	20	132	5	47	15	11	18	1	98	0	11	0	3	29	26	0
19	Adam/030011.xml	36	4.15	3680	1062	2255	479	157	75	25	108	6	21	3	1	4	0	80	0	12	0	1	13	4	0
20	Adam/030025.xml	37	4.87	3798	949	1147	242	160	42	29	117	9	10	2	0	15	9	127	0	22	0	0	11	18	0
21	Adam/030109.xml	37	4.86	3884	990	1104	248	189	56	14	163	12	15	4	7	1	4	103	0	16	1	0	15	20	0
22	Adam/030126.xml	38	4.67	3646	957	2019	468	212	77	18	132	4	4	1	1	11	0	82	0	7	0	0	16	13	0
23	Adam/030209.xml	38	4.01	2913	843	1789	428	155	35	24	80	8	30	5	3	7	3	44	0	7	1	0	24	5	0
24	Adam/030221.xml	39	4.57	4083	1042	951	219	183	23	35	171	9	9	1	2	2	2	79	0	37	2	1	11	26	0
25	Adam/030304.xml	39	4.64	3529	919	2112	452	243	20	56	105	7	20	7	6	3	2	73	0	14	2	0	6	6	0
