,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Adam/020318.xml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Adam/020403.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Adam/020415.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Adam/020430.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adam/020512.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5,Adam/020603.xml,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adam/020617.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Adam/020701.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Adam/020714.xml,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
9,Adam/020801.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10,Adam/020816.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Adam/020904.xml,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
12,Adam/020918.xml,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
13,Adam/021002.xml,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
14,Adam/021016.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15,Adam/021030.xml,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0
16,Adam/021113.xml,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0
17,Adam/021128.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
18,Adam/030011.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Adam/030025.xml,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
20,Adam/030109.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Adam/030126.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Adam/030209.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Adam/030221.xml,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
24,Adam/030304.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Adam/030318.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Adam/030401.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Adam/030418.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Adam/030501.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Adam/030515.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Adam/030529.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Adam/030609.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Adam/030707.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Adam/030801.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Adam/030814.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Adam/030826.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Adam/030916.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Adam/031015.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Adam/031101.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Adam/031114.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Adam/040014.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Adam/040115.xml,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,Adam/040217.xml,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
43,Adam/040309.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Adam/040401.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Adam/040413.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Adam/040511.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,Adam/040624.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Adam/040701.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,Adam/040729.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Adam/040902.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Adam/041002.xml,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
52,Adam/041023.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Adam/050212.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
