,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Anne/011104.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Anne/011106.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Anne/011118.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Anne/011120.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Anne/020015.xml,0,0,0,0,0,0,0,2,0,0,0,0,0
5,Anne/020017.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Anne/020029.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Anne/020108.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Anne/020120.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
9,Anne/020122.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Anne/020210.xml,0,0,0,0,0,0,0,1,1,0,0,0,0
11,Anne/020212.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Anne/020301.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Anne/020320.xml,0,0,0,7,0,1,0,0,0,0,0,0,0
14,Anne/020328.xml,0,0,0,2,0,0,0,0,1,0,0,0,0
15,Anne/020400.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
16,Anne/020412.xml,0,0,0,7,0,2,0,0,0,0,0,0,0
17,Anne/020414.xml,0,0,0,3,1,0,0,0,0,0,0,0,0
18,Anne/020502.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
19,Anne/020504.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Anne/020525.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Anne/020604.xml,0,0,0,3,0,0,0,0,0,0,0,0,0
22,Anne/020629.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Anne/020701.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Anne/020713.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
25,Anne/020715.xml,0,0,0,0,0,4,0,0,0,0,3,0,0
26,Anne/020727.xml,0,0,0,0,0,1,0,0,0,0,1,0,0
27,Anne/020728.xml,0,0,0,0,0,0,0,1,1,0,0,0,0
28,Anne/020729.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Anne/020824.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
30,Anne/020825.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Anne/020826.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Anne/020908.xml,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Anne/020910.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Anne/030007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Anne/030120.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Anne/030404.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Anne/030823.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
