	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Ben/020406.xml	28	4.97	1122	313	933	210	25	3	1	1	0	73	3	0	4	1	13	0	0	0	0	1	0	1
1	Ben/020413.xml	28	5.23	1338	339	1032	209	29	0	6	6	1	39	10	7	0	1	28	1	0	0	2	5	3	0
2	Ben/020427.xml	29	5.26	1206	315	908	194	47	0	3	2	0	57	11	9	0	2	15	0	4	0	0	9	3	0
3	Ben/020503.xml	29	6.27	907	217	473	91	17	2	5	3	0	44	7	16	0	2	12	0	0	0	0	0	3	5
4	Ben/020510.xml	29	5.5	1176	296	1282	230	58	4	17	10	0	36	3	6	0	1	21	0	3	0	0	1	0	5
5	Ben/020804.xml	32	5.4	1316	385	504	83	29	0	8	15	0	9	4	5	0	21	32	2	1	0	0	2	0	6
6	Ben/020816.xml	33	5.41	1154	331	348	59	45	4	8	8	0	5	1	0	0	7	29	0	2	0	0	2	5	3
7	Ben/021008.xml	34	6.88	1418	363	175	29	34	8	2	17	2	17	5	3	0	4	21	0	4	0	0	1	0	0
8	Ben/021022.xml	35	6.0	1502	391	419	56	35	2	0	28	12	43	7	2	2	13	14	0	14	0	0	1	1	0
9	Ben/030221.xml	39	6.62	1138	257	1566	257	59	3	7	21	7	10	1	2	11	7	16	0	16	2	0	6	4	1
10	Ben/030321.xml	40	6.57	1426	296	1550	273	88	4	10	20	2	13	6	4	7	5	20	0	13	0	0	9	4	4
