,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Ben/020413.xml,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,Ben/020427.xml,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,Ben/020503.xml,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
3,Ben/020510.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ben/020804.xml,0,0,0,0,0,0,2,14,0,0,0,0,6,0,0
5,Ben/020816.xml,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
6,Ben/021008.xml,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
7,Ben/021022.xml,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0
8,Ben/030221.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Ben/030321.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
