,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Conor/030904.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Conor/031010.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Conor/031022.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Conor/040010.xml,0,0,0,0,0,0,0,3,0,0,0,0,0
4,Conor/040024a.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Conor/040024b.xml,0,0,0,0,0,0,0,2,0,0,0,0,0
6,Conor/040121.xml,0,0,0,0,0,0,0,3,0,0,0,0,1
7,Conor/040220.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Conor/040317.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Conor/040415.xml,0,0,0,0,0,0,0,3,0,0,0,0,0
10,Conor/040522.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Conor/040605.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
