,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Dominic/011117.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dominic/011124.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dominic/020007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dominic/020021.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dominic/020028.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dominic/020111.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dominic/020119.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dominic/020126.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Dominic/020202.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dominic/020209.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Dominic/020216.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dominic/020230.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dominic/020314.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dominic/020328.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dominic/020404.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
15,Dominic/020411.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Dominic/020425.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Dominic/020501.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dominic/020508.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Dominic/020522.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Dominic/020529.xml,0,0,0,4,0,0,0,1,0,0,0,0,0
21,Dominic/020613.xml,0,0,0,0,0,0,0,4,0,0,0,0,0
22,Dominic/020620.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
23,Dominic/020703.xml,0,0,0,0,0,0,0,2,1,0,0,0,0
24,Dominic/020717.xml,0,0,0,2,0,0,0,0,1,0,0,0,0
25,Dominic/020724.xml,0,0,0,4,1,0,0,2,0,0,0,0,0
26,Dominic/020800.xml,0,0,0,0,0,0,0,4,0,0,0,0,0
27,Dominic/020822.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Dominic/020829.xml,0,0,0,0,2,0,0,5,0,0,0,0,0
29,Dominic/020919.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Dominic/020926.xml,0,0,0,1,0,0,0,2,0,0,0,0,0
31,Dominic/021002.xml,0,0,0,1,0,0,0,2,0,0,0,0,0
32,Dominic/021016.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
33,Dominic/030007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
