	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Emily/020606.xml	30	4.74	2240	625	924	189	134	5	38	33	0	28	7	4	15	3	95	0	49	0	0	12	1	0
1	Emily/020620.xml	31	4.9	1823	491	0	0	111	8	46	21	6	13	5	3	2	1	56	3	16	2	0	11	4	1
2	Emily/020704.xml	31	7.24	1482	325	0	0	74	7	30	15	1	8	6	9	0	0	37	0	11	1	0	15	1	1
3	Emily/020718.xml	32	4.66	1019	279	0	0	62	11	14	3	1	22	4	6	3	5	7	0	4	0	0	6	1	0
4	Emily/020729.xml	32	5.41	854	231	0	0	82	2	36	11	4	7	8	6	0	3	16	0	0	0	0	3	2	4
5	Emily/020813.xml	32	5.67	1341	338	12	2	70	14	33	13	1	17	1	9	6	4	42	0	2	0	0	5	0	0
6	Emily/020902.xml	33	7.32	1513	324	0	0	81	6	12	29	11	22	2	17	6	16	26	0	7	1	0	7	3	0
7	Emily/020923.xml	34	7.01	1345	280	0	0	79	11	69	44	3	8	1	3	2	0	21	0	3	0	0	3	0	0
8	Emily/021007.xml	34	6.59	1173	276	0	0	64	10	29	29	4	6	0	2	1	0	31	0	14	0	2	4	1	0
9	Emily/021028.xml	35	5.9	1150	278	0	0	70	8	10	39	2	2	0	1	2	3	15	0	4	0	0	0	1	2
10	Emily/021115.xml	35	6.74	1303	277	0	0	84	9	13	31	0	7	6	0	0	1	14	0	3	1	0	7	0	0
11	Emily/021129.xml	36	5.6	857	227	0	0	31	4	24	10	0	6	3	2	2	1	23	0	5	0	0	3	1	1
12	Emily/030012.xml	36	7.2	1894	399	0	0	90	17	12	48	9	32	4	17	9	8	44	0	18	2	0	14	4	6
13	Emily/030023.xml	37	6.25	1928	415	79	14	112	16	18	45	5	4	3	2	13	2	75	0	10	0	0	1	0	1
14	Emily/030106.xml	37	7.62	1508	337	0	0	87	12	6	9	0	11	2	6	10	5	25	0	11	1	0	10	1	0
15	Emily/030127.xml	38	6.31	1296	316	0	0	63	11	24	24	7	5	5	4	2	0	31	0	9	0	0	5	1	3
16	Emily/030219.xml	39	6.89	1160	289	0	0	63	4	13	20	6	5	0	2	7	11	20	0	5	0	0	1	3	0
17	Emily/030302.xml	39	8.15	2040	403	0	0	83	18	32	69	25	13	6	2	2	2	60	0	14	0	2	1	1	1
18	Emily/030409.xml	40	9.54	1758	316	0	0	75	25	27	22	13	25	6	9	4	10	48	0	20	0	1	10	0	4
19	Emily/040216.xml	51	5.66	1092	272	0	0	32	18	14	24	9	4	0	2	4	3	22	0	13	0	1	6	0	1
20	Emily/040317.xml	52	5.43	1197	290	0	0	40	5	12	25	4	9	3	0	3	3	22	0	22	0	7	1	1	0
21	Emily/040414.xml	52	8.22	1337	254	0	0	33	10	5	13	1	13	2	2	24	7	31	2	4	0	0	3	0	0
22	Emily/040519.xml	54	6.24	980	245	0	0	38	16	16	21	1	12	2	2	5	4	14	0	8	3	3	1	0	0
