	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Emma/020708.xml		3.71	490	162	644	146	8	2	2	13	0	1	1	1	5	2	7	0	7	0	0	6	0	0
1	Emma/020801.xml	32.0	4.72	545	167	755	144	13	1	2	16	2	12	4	2	2	0	10	0	5	0	0	2	1	0
2	Emma/020818.xml	33.0	4.86	633	172	0	0	24	3	5	2	0	0	2	0	0	0	9	0	5	0	0	0	4	0
3	Emma/020900.xml	33.0	5.49	652	151	392	73	11	1	2	3	0	7	0	3	0	0	18	0	3	0	1	5	0	0
4	Emma/020915.xml	33.0	4.97	485	135	0	0	33	5	1	10	1	3	0	1	0	0	2	0	0	1	0	2	0	1
5	Emma/021000.xml	34.0	6.24	920	218	227	47	25	4	8	38	2	5	2	0	0	1	6	0	7	1	1	4	3	0
6	Emma/021026.xml	35.0	5.72	1291	304	25	4	58	20	12	40	8	0	3	4	4	1	29	0	12	1	2	2	1	0
7	Emma/021116.xml	36.0	6.35	951	225	45	7	15	9	4	24	0	10	2	6	10	3	12	0	0	0	0	12	4	0
8	Emma/030003.xml	36.0	5.76	999	243	0	0	29	5	3	36	5	5	3	0	1	0	11	0	4	1	0	4	0	0
9	Emma/030120.xml	38.0	5.73	915	238	147	25	26	3	5	12	2	4	11	0	0	1	8	0	19	0	0	2	7	0
10	Emma/030126.xml	38.0	5.25	586	163	658	118	31	3	3	7	0	0	1	0	0	1	15	0	14	0	0	4	2	0
11	Emma/030209.xml	38.0	5.56	985	258	184	29	42	5	4	31	3	1	0	0	11	4	4	0	6	0	0	3	3	0
12	Emma/030300.xml	39.0	5.6	524	139	512	95	22	22	0	9	2	2	3	1	1	3	8	0	1	0	0	0	3	1
13	Emma/030314.xml	39.0	4.66	896	292	966	145	25	34	4	33	2	3	0	1	2	2	16	0	13	0	3	7	6	0
14	Emma/030418.xml	41.0	4.62	695	209	268	62	21	5	4	31	6	15	6	2	1	0	6	0	0	0	0	0	4	0
15	Emma/030624.xml	43.0	4.94	1126	338	0	0	41	9	12	18	4	20	7	0	4	1	12	0	11	3	7	4	8	0
16	Emma/030721.xml	44.0	5.36	1683	414	0	0	105	9	7	52	6	10	3	0	0	1	31	0	32	3	0	8	3	0
17	Emma/030807.xml	44.0	5.51	1449	397	0	0	66	15	17	68	8	14	6	2	4	0	7	0	3	2	1	1	2	0
18	Emma/030822.xml	45.0	6.15	1192	261	0	0	29	17	18	46	6	12	3	1	2	0	13	0	7	6	3	3	3	1
19	Emma/030907.xml	45.0	5.85	1257	328	0	0	70	9	25	42	11	5	3	3	0	0	16	0	8	2	1	0	0	0
20	Emma/030912.xml	45.0	5.14	1300	351	0	0	30	6	7	23	0	9	2	8	3	1	14	0	14	0	1	2	1	0
21	Emma/040125.xml	50.0	4.45	998	300	0	0	22	8	2	22	0	1	0	1	3	0	11	0	6	1	0	2	3	0
22	Emma/040300.xml	51.0	4.92	812	226	33	11	12	5	9	22	0	2	1	0	7	0	1	0	14	1	0	1	1	1
23	Emma/040321.xml	52.0	5.49	1030	280	0	0	30	16	10	34	5	5	3	1	6	5	13	0	1	1	1	1	3	0
24	Emma/040328.xml	52.0	6.28	1429	337	0	0	57	8	12	48	1	10	3	6	4	4	12	0	15	0	0	5	8	0
25	Emma/040418.xml	53.0	6.4	1666	389	0	0	53	3	2	39	4	11	7	4	11	8	22	0	20	4	2	11	9	4
26	Emma/040804.xml	56.0	5.72	1232	331	0	0	37	5	5	40	2	5	13	7	2	7	20	0	24	1	2	4	3	2
