	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Eve/010600a.xml	18	2.1	1409	741	2890	804	4	1	11	3	1	0	0	0	0	5	53	0	0	0	0	0	0	0
1	Eve/010600b.xml	18	2.11	825	473	2441	641	5	9	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0
2	Eve/010700a.xml	19	2.6	538	253	1020	279	7	2	2	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0
3	Eve/010700b.xml	19	2.13	1052	585	2688	721	13	0	5	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0
4	Eve/010800.xml	20	2.53	1480	706	2214	598	5	23	6	4	0	2	0	0	0	0	13	0	0	0	0	1	0	0
5	Eve/010900a.xml	21	3.1	1335	536	1187	309	12	0	20	10	2	0	5	0	0	1	14	0	0	0	0	0	0	0
6	Eve/010900b.xml	21	2.85	1221	523	2335	619	19	1	2	4	0	3	0	0	3	1	13	0	0	0	0	0	0	0
7	Eve/010900c.xml	21	3.24	2495	959	3141	794	63	17	6	18	0	4	0	0	1	1	41	0	1	0	0	0	0	0
8	Eve/011000a.xml	22	3.67	1531	519	1131	300	43	18	37	9	0	1	0	1	1	0	29	0	1	0	0	0	0	0
9	Eve/011000b.xml	22	3.79	1601	547	1039	266	53	5	49	6	0	0	0	0	1	0	27	0	0	0	1	0	1	0
10	Eve/011100a.xml	23	3.55	1281	447	882	210	58	7	49	11	4	2	0	0	3	0	62	0	2	0	0	0	1	0
11	Eve/011100b.xml	23	4.12	2115	641	1757	387	102	26	63	54	9	13	0	0	1	0	68	0	14	0	1	3	1	0
12	Eve/020000a.xml	24	4.16	1528	456	1157	258	75	24	50	64	3	11	3	0	1	2	49	0	1	0	0	0	0	0
13	Eve/020000b.xml	24	4.05	1503	476	1646	371	63	18	17	44	1	17	3	1	0	0	35	0	20	0	2	4	0	0
14	Eve/020100a.xml	25	4.93	2587	724	3469	825	159	34	41	64	4	11	0	0	0	3	107	1	31	0	3	12	15	3
15	Eve/020100b.xml	25	4.68	2299	641	3063	720	108	29	47	67	4	29	2	2	1	2	65	0	10	0	2	4	6	0
16	Eve/020200a.xml	26	4.99	3365	903	3135	696	165	29	58	101	8	53	3	1	5	5	80	0	13	0	2	10	2	2
17	Eve/020200b.xml	26	4.44	2715	791	2692	615	150	27	46	91	6	22	2	2	3	0	74	0	24	2	1	7	20	1
18	Eve/020300a.xml	27	4.52	2262	653	2297	485	117	33	30	74	3	17	3	2	2	1	38	0	26	2	8	6	5	0
19	Eve/020300b.xml	27	4.05	1428	539	2350	552	35	7	18	34	6	3	0	0	4	20	26	0	2	2	0	0	1	0
