	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Geraldine/haas1917.xml	18.0	1.35	298	248	1963	591	3	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
1	Geraldine/haas1918.xml	18.0	1.77	355	217	1686	463	12	1	5	6	0	4	0	0	0	0	5	0	0	0	0	0	2	0
2	Geraldine/haas1919.xml		2.0	441	252	2339	605	16	0	4	2	0	0	0	0	0	0	17	0	3	0	0	2	1	0
3	Geraldine/haas1920.xml	19.0	2.32	228	134	966	249	17	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
4	Geraldine/haas1921.xml	20.0	1.83	223	149	1110	290	6	1	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0
5	Geraldine/haas1923.xml	23.0	3.83	565	196	831	205	32	7	12	9	4	0	0	5	1	1	5	2	0	0	0	1	2	0
6	Geraldine/haas1924.xml	26.0	2.32	303	156	1255	306	8	2	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7	Geraldine/haas1926.xml	26.0	5.43	694	196	1669	357	52	8	25	23	1	1	2	3	0	0	11	0	4	0	0	2	2	0
8	Geraldine/haas1927.xml	28.0	4.41	791	252	2994	686	69	2	31	7	1	3	1	4	0	0	18	0	2	0	0	0	1	0
9	Geraldine/haas1929.xml	29.0	4.54	629	195	1281	338	54	2	10	18	1	0	0	0	2	0	15	0	0	0	0	1	0	0
