	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Jillian/020101.xml	25	3.93	389	156	1432	267	8	1	4	3	1	12	0	0	4	1	5	0	2	0	0	1	0	0
1	Jillian/020108.xml	25	3.82	645	246	1577	270	11	2	0	15	0	15	0	2	0	0	6	0	1	0	0	0	0	0
2	Jillian/020117.xml	26	3.4	399	178	2337	413	10	1	3	6	1	8	1	6	0	0	3	0	4	0	0	2	2	0
3	Jillian/020122.xml	26	3.94	414	155	1557	265	6	4	8	10	4	12	1	2	7	8	1	0	3	1	0	0	1	0
4	Jillian/020129.xml	26	2.76	382	184	1241	266	9	0	2	3	1	1	0	0	1	0	7	0	1	0	0	6	0	0
5	Jillian/020206.xml	26	3.77	386	144	1562	268	13	4	5	5	0	3	0	4	0	0	5	0	2	0	0	6	0	1
6	Jillian/020317.xml	28	7.13	1315	322	439	79	31	3	6	5	0	9	1	3	47	24	5	0	0	1	0	17	0	3
7	Jillian/020325.xml	28	6.19	869	233	548	90	29	14	5	9	2	9	0	6	23	6	7	0	0	0	0	6	0	2
8	Jillian/020402.xml	28	5.7	939	245	304	69	11	0	6	5	0	12	0	6	17	8	8	1	1	0	0	24	1	2
9	Jillian/020409.xml	28	4.54	1053	333	393	76	18	3	10	14	12	21	3	7	1	2	4	0	5	0	2	2	1	0
10	Jillian/020414.xml	28	4.85	1039	315	1897	355	18	5	12	23	11	7	4	2	8	2	6	0	5	0	0	7	2	1
11	Jillian/020421.xml	29	5.07	1089	313	585	105	19	5	13	9	3	13	14	19	0	12	13	0	4	1	0	1	4	1
12	Jillian/020428.xml	29	5.19	1128	296	472	86	41	14	18	23	9	2	4	13	4	12	4	0	6	1	0	15	1	0
13	Jillian/020507.xml	29	5.49	1376	368	185	36	32	8	18	22	2	11	8	12	9	5	3	0	10	1	1	9	13	7
14	Jillian/020521.xml	30	4.36	1049	366	587	103	37	11	14	29	15	1	0	0	1	3	25	0	3	0	0	3	9	1
15	Jillian/020526.xml	30	4.94	1137	357	1241	227	18	4	14	20	8	4	3	9	12	1	7	0	7	0	0	18	4	1
16	Jillian/020604.xml	30	4.84	1070	320	748	138	65	5	5	33	8	10	6	3	6	13	12	0	6	0	0	3	1	3
17	Jillian/020616.xml	31	5.97	1705	418	113	18	43	21	30	56	25	21	2	2	2	5	19	0	1	1	0	5	10	1
18	Jillian/020700.xml	31	5.78	793	195	45	6	30	4	19	16	5	4	6	6	9	11	6	1	3	0	0	4	3	0
19	Jillian/020707.xml	31	7.16	1202	259	185	33	24	5	3	35	13	29	8	27	5	5	10	0	1	1	0	5	3	7
20	Jillian/020916.xml	34	4.72	880	258	1378	249	48	4	22	11	1	7	2	1	3	12	10	1	1	0	0	8	1	0
21	Jillian/021000.xml	34	5.07	1178	328	1362	268	56	5	10	18	0	9	6	4	5	5	24	2	2	7	6	6	4	5
