	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Jimmy/father/020215.xml	26	4.42	1059	294	0	0	45	4	12	8	2	3	1	2	0	0	7	0	2	0	0	3	1	0
1	Jimmy/father/020220.xml	27	4.13	889	275	0	0	68	3	9	14	1	2	0	1	0	0	6	0	2	0	0	1	3	0
2	Jimmy/father/020224.xml	27	4.5	923	258	0	0	46	10	17	16	9	3	3	0	0	0	9	0	5	0	0	0	0	0
3	Jimmy/father/020426.xml	29	4.5	686	198	0	0	29	3	14	4	3	0	1	2	0	0	10	0	5	0	0	1	1	0
4	Jimmy/father/020428.xml	29	4.91	1033	274	0	0	15	12	16	2	1	3	3	0	5	0	9	0	13	0	0	1	0	0
5	Jimmy/father/020429.xml	29	4.25	987	287	0	0	21	6	12	12	3	3	12	1	1	1	8	0	1	0	0	0	3	0
6	Jimmy/father/020430.xml	29	4.55	941	268	0	0	12	7	6	10	11	1	1	0	3	2	7	0	1	0	1	0	2	1
7	Jimmy/father/020629.xml	31	4.32	282	81	0	0	19	2	3	7	2	1	0	1	0	0	2	0	2	0	0	0	2	0
8	Jimmy/father/020702.xml	31	4.93	946	287	0	0	30	13	7	32	16	6	2	2	0	1	6	2	2	0	0	0	1	0
9	Jimmy/father/020704.xml	31	4.52	756	217	0	0	28	11	11	16	7	2	1	0	0	0	4	0	1	0	0	2	1	0
10	Jimmy/father/020705.xml	31	3.51	801	311	0	0	17	12	10	17	14	0	1	1	4	0	4	1	2	0	0	2	1	0
11	Jimmy/father/020914.xml	33	4.41	763	239	0	0	41	8	2	26	1	0	0	0	5	0	19	0	9	0	0	0	2	0
12	Jimmy/father/020916.xml	34	4.16	875	277	0	0	47	7	7	23	10	0	0	0	0	0	18	0	3	0	0	1	0	0
13	Jimmy/father/020922.xml	34	4.53	923	269	0	0	42	4	12	15	6	9	0	0	2	1	8	0	6	0	0	0	1	0
14	Jimmy/father/020923.xml	34	4.32	830	250	0	0	36	10	14	24	3	1	1	2	4	0	11	0	3	0	0	0	0	0
15	Jimmy/mother/020215.xml	26	3.99	856	266	1715	421	45	3	15	1	0	2	0	1	0	0	17	0	1	1	0	0	0	0
16	Jimmy/mother/020220.xml	27	4.26	906	275	1306	362	79	3	20	0	0	0	1	0	0	0	11	0	0	1	0	1	0	0
17	Jimmy/mother/020224.xml	27	4.64	1071	322	1570	413	49	2	10	5	0	1	1	1	0	0	8	0	9	0	1	0	2	0
18	Jimmy/mother/020429.xml	29	4.78	1171	327	1411	352	28	3	17	18	0	15	20	2	1	0	6	0	10	0	0	1	1	0
19	Jimmy/mother/020430.xml	29	4.64	932	267	1552	361	9	4	5	9	2	7	10	1	3	0	10	0	3	0	0	0	0	0
20	Jimmy/mother/020702.xml	31	5.8	1213	302	1556	358	28	40	24	13	3	8	9	3	3	2	12	0	2	0	0	0	0	0
21	Jimmy/mother/020704.xml	31	5.43	891	213	1234	249	23	15	13	11	2	12	6	5	1	0	14	4	4	0	1	3	11	1
22	Jimmy/mother/020705.xml	31	4.72	700	206	1521	282	16	19	11	19	0	6	1	1	4	1	12	0	3	0	0	2	0	0
23	Jimmy/mother/020916.xml	34	4.46	1167	342	1693	383	30	5	5	15	4	20	4	6	8	0	16	0	11	0	0	3	3	0
24	Jimmy/mother/020922.xml	34	4.7	985	285	1799	411	50	14	14	54	2	23	7	3	0	0	22	0	9	0	1	0	0	0
25	Jimmy/mother/020923.xml	34	4.66	1008	278	1703	403	55	2	15	11	1	20	6	6	0	0	12	0	4	0	0	2	0	0
