,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Jimmyfather/020220.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jimmy father/020224.xml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Jimmy father/020426.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Jimmy father/020428.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Jimmy father/020429.xml,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5,Jimmy father/020430.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jimmy father/020629.xml,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
7,Jimmy father/020702.xml,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,Jimmy father/020704.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jimmy father/020705.xml,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10,Jimmy father/020914.xml,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
11,Jimmy father/020916.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jimmy father/020922.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jimmy father/020923.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Jimmymother/020215.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jimmymother/020220.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Jimmymother/020224.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Jimmymother/020429.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Jimmymother/020430.xml,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Jimmymother/020702.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Jimmymother/020704.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Jimmymother/020705.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Jimmymother/020916.xml,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
23,Jimmymother/020922.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Jimmymother/020923.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
