	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Laura/010510.xml	17	1.32	193	171	843	241	0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1	Laura/010511.xml	17	1.29	261	230	1251	369	2	1	3	3	0	0	0	0	1	0	2	0	0	1	0	0	0	0
2	Laura/010512.xml	17	1.62	18	15	102	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Laura/010513.xml	17	1.36	268	241	1212	334	4	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
4	Laura/010514.xml	17	1.55	75	74	345	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Laura/010519.xml	18	1.21	37	46	199	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Laura/010522.xml	18	1.39	236	196	845	257	2	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
7	Laura/010528.xml	18	1.52	125	94	540	141	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	Laura/010600a.xml	18	1.43	40	32	144	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Laura/010600b.xml	18	1.17	71	65	368	102	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Laura/010602.xml	18	1.31	179	159	407	128	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
11	Laura/010603.xml	18	1.4	275	221	756	223	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
12	Laura/010604a.xml	18	1.53	148	111	293	96	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Laura/010604b.xml	18	1.9	116	77	522	133	5	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0
14	Laura/010605.xml	18	1.16	66	61	262	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Laura/010607.xml	18	1.57	163	126	400	119	2	3	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
16	Laura/010614a.xml	18	1.51	166	149	700	201	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
17	Laura/010614b.xml	18	1.57	45	36	242	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Laura/010615.xml	18	1.7	98	70	348	93	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Laura/010616a.xml	19	4.67	29	9	43	13	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
20	Laura/010616b.xml	19	1.55	58	43	129	44	3	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
21	Laura/010619.xml	19	1.37	155	131	699	193	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22	Laura/010621.xml	19	1.38	126	107	445	122	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0
23	Laura/010627.xml	19	1.63	232	169	474	148	7	7	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0
24	Laura/010628.xml	19	1.31	37	36	103	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Laura/010629.xml	19	1.0	11	11	58	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Laura/010705.xml	19	1.88	199	154	764	184	5	1	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0
27	Laura/010706.xml	19	1.3	16	13	107	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	Laura/010707.xml	19	1.91	171	116	277	86	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0
29	Laura/010708.xml	19	2.27	279	162	437	137	11	11	5	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0
30	Laura/010717.xml	20	1.9	185	133	641	171	7	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
31	Laura/010719.xml	20	1.86	144	102	569	153	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
32	Laura/010720.xml	20	2.26	130	77	255	70	3	1	2	1	0	2	0	0	0	0	4	0	0	0	0	0	2	0
33	Laura/010721.xml	20	2.45	247	126	543	140	21	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
34	Laura/010725.xml	20	1.83	171	117	536	147	9	6	0	2	1	0	0	0	0	0	4	0	0	0	0	0	0	0
35	Laura/010819.xml	21	2.44	233	123	467	152	20	1	11	0	1	1	0	0	0	1	4	0	0	0	0	0	0	0
36	Laura/010824.xml	21	2.7	218	106	499	126	3	4	1	2	0	0	0	0	0	0	6	0	1	0	0	0	0	0
37	Laura/010902.xml	21	2.57	762	367	1312	329	21	14	24	8	1	4	1	0	0	0	29	0	1	0	0	0	0	0
38	Laura/010905.xml	21	2.84	57	32	143	37	2	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
39	Laura/010906.xml	21	2.61	102	48	405	98	4	0	4	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0
40	Laura/010916.xml	22	2.03	73	47	148	42	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
41	Laura/011000.xml	22	2.05	189	116	353	119	2	4	6	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0
42	Laura/011008.xml	22	2.07	283	154	500	133	7	1	7	9	1	0	0	0	0	1	12	0	0	0	0	0	0	0
43	Laura/011009.xml	22	2.36	33	17	104	29	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
44	Laura/011010.xml	22	2.18	219	119	431	120	7	8	8	1	0	3	2	0	0	0	4	0	0	0	0	0	0	0
45	Laura/011014.xml	22	2.62	22	12	8	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
46	Laura/011019.xml	23	2.26	366	233	1150	270	7	5	33	0	0	3	0	0	0	0	16	0	0	0	0	0	0	0
47	Laura/011020.xml	23	2.44	227	117	238	73	2	5	25	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
48	Laura/011023.xml	23	2.58	145	100	275	67	4	0	13	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
49	Laura/011024.xml	23	3.42	44	19	37	13	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
50	Laura/011027.xml	23	2.31	382	210	775	253	23	3	16	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0
51	Laura/011103.xml	23	2.49	381	210	708	233	32	3	14	3	0	1	1	0	1	0	11	0	0	0	0	4	0	0
52	Laura/011109.xml	23	3.48	604	240	898	248	21	7	25	5	0	2	1	1	1	3	11	0	1	0	0	0	0	0
53	Laura/011113.xml	23	3.15	287	140	588	157	7	8	12	2	0	1	1	0	0	2	12	0	0	0	1	0	0	0
54	Laura/011116.xml	24	3.3	347	129	376	100	21	3	39	5	0	0	0	0	2	0	6	0	1	0	0	0	0	0
55	Laura/011118.xml	24	2.92	80	33	71	29	13	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
56	Laura/011124.xml	24	2.96	444	191	366	122	26	3	26	3	0	0	0	0	0	0	11	0	1	0	0	0	0	0
57	Laura/011125.xml	24	3.33	213	82	432	114	18	1	7	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
58	Laura/011126.xml	24	3.49	313	115	828	157	22	1	8	0	0	2	0	0	0	0	12	0	1	0	0	0	0	0
59	Laura/011130a.xml	24	2.43	103	45	296	64	4	3	2	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0
60	Laura/011130b.xml	24	2.6	176	86	469	138	11	3	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
61	Laura/020000.xml	24	2.64	479	224	635	174	33	6	11	6	3	5	0	0	0	0	20	0	0	0	0	0	0	0
62	Laura/020010.xml	24	3.18	226	95	290	85	12	4	17	3	1	0	0	0	0	0	7	0	0	0	0	0	0	0
63	Laura/020017.xml	25	2.54	111	53	131	36	2	6	9	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
64	Laura/020023.xml	25	2.75	150	74	370	87	0	5	5	0	0	4	0	1	0	0	4	0	0	0	0	0	0	0
65	Laura/020024.xml	25	2.49	110	55	145	41	11	4	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
66	Laura/020110.xml	25	3.19	212	93	295	94	22	9	9	2	0	4	2	0	0	0	8	0	0	0	0	0	0	0
67	Laura/020113.xml	25	2.94	171	72	317	115	7	1	4	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
68	Laura/020115.xml	25	2.88	119	58	465	104	9	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
69	Laura/020119.xml	26	3.98	230	75	353	110	21	0	5	7	0	0	1	1	0	0	3	0	0	0	0	0	0	0
70	Laura/020120.xml	26	2.91	275	124	274	120	22	5	7	3	1	2	0	0	0	0	2	0	0	1	0	0	0	0
71	Laura/020121.xml	26	2.68	167	86	258	83	11	3	5	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0
72	Laura/020122.xml	26	3.0	126	58	228	68	10	2	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
73	Laura/020124.xml	26	2.43	173	98	301	142	11	2	5	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0
74	Laura/020126.xml	26	2.17	210	109	423	186	8	1	2	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0
75	Laura/020128.xml	26	3.25	399	176	788	209	31	2	17	1	0	0	0	0	0	0	11	0	6	0	0	0	0	0
76	Laura/020129.xml	26	3.71	141	54	290	73	6	1	0	5	0	4	0	1	0	0	2	0	0	0	0	0	0	0
77	Laura/020200.xml	26	3.42	243	100	531	172	24	2	6	3	0	0	0	0	0	0	7	0	1	0	0	3	0	0
78	Laura/020203.xml	26	3.61	334	117	460	129	22	12	3	3	0	0	0	0	1	0	1	0	4	0	0	0	2	0
79	Laura/020212a.xml	26	4.95	179	56	153	62	7	13	3	4	2	0	0	0	0	0	5	0	5	0	0	0	0	0
80	Laura/020212b.xml	26	3.32	357	138	350	122	26	9	11	4	1	3	1	2	0	0	10	0	2	0	0	0	2	0
81	Laura/020215.xml	26	3.81	206	70	310	90	9	7	6	9	0	0	0	0	0	0	7	0	1	0	0	0	0	0
82	Laura/020217.xml	27	4.5	35	10	133	34	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
83	Laura/020218.xml	27	3.0	466	201	863	218	27	9	9	5	0	0	0	0	2	0	9	0	1	0	0	0	0	0
84	Laura/020221.xml	27	2.62	1504	757	2609	612	40	20	40	10	3	0	0	1	0	0	29	0	2	0	0	0	1	0
85	Laura/020223.xml	27	2.69	117	55	401	140	12	2	5	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
86	Laura/020224.xml	27	2.91	66	28	125	26	4	2	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
87	Laura/020225.xml	27	2.64	43	22	189	36	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
88	Laura/020226.xml	27	4.14	370	128	446	130	35	2	13	8	5	0	0	0	1	1	5	0	2	1	1	0	0	0
89	Laura/020227.xml	27	3.06	614	257	335	117	25	7	5	6	1	2	2	0	6	0	12	0	9	0	0	0	1	0
90	Laura/020228.xml	27	2.52	152	72	113	34	11	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
91	Laura/020300.xml	27	2.79	205	99	204	67	19	2	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0
92	Laura/020300a.xml	27	3.68	1428	513	2307	542	83	14	68	17	2	0	0	0	9	4	13	0	6	0	0	0	0	0
93	Laura/020300b.xml	27	3.24	433	171	617	199	17	10	17	2	1	0	1	0	0	1	6	0	1	0	0	1	0	0
94	Laura/020305.xml	27	2.31	273	155	650	188	13	4	9	0	0	2	0	0	0	0	2	0	3	0	0	3	0	0
95	Laura/020306.xml	27	2.29	116	62	98	39	14	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
96	Laura/020308.xml	27	3.0	74	29	163	57	7	1	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
97	Laura/020311.xml	27	3.04	133	53	200	63	2	5	2	6	0	1	0	0	0	0	1	0	0	0	0	1	0	0
98	Laura/020312.xml	27	2.96	261	111	415	145	20	4	12	0	0	1	0	0	1	1	3	0	0	1	0	0	0	0
99	Laura/020313.xml	27	3.15	254	108	231	106	18	2	9	9	3	1	0	0	0	0	4	0	0	0	0	0	0	0
100	Laura/020323.xml	28	2.9	368	185	667	202	21	5	7	11	2	0	0	0	0	0	1	0	1	0	0	0	0	0
101	Laura/020330.xml	28	3.26	359	150	565	148	28	1	11	5	2	1	0	0	1	1	6	0	1	1	0	2	2	0
102	Laura/020405.xml	28	2.99	273	132	452	102	22	4	6	2	0	0	1	0	0	0	7	0	1	0	0	1	1	0
103	Laura/020406.xml	28	3.53	357	139	398	118	24	2	7	6	0	2	0	0	0	1	4	0	5	0	0	0	0	0
104	Laura/020411.xml	28	3.53	456	173	586	154	45	6	11	3	2	2	0	0	1	0	21	0	1	0	0	0	1	0
105	Laura/020416.xml	29	2.15	147	99	204	52	4	2	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
106	Laura/020423.xml	29	2.9	294	138	440	101	12	3	5	2	1	5	1	0	0	0	13	0	0	0	0	0	0	0
107	Laura/020424.xml	29	2.7	520	270	556	151	41	3	11	5	0	2	1	0	0	0	8	0	1	1	0	0	0	0
108	Laura/020426.xml	29	3.07	91	40	88	21	5	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
109	Laura/020501.xml	29	2.75	501	223	244	65	42	3	15	3	0	0	0	0	0	0	5	0	1	0	0	0	0	0
110	Laura/020502.xml	29	3.08	817	344	800	178	37	9	46	13	0	6	2	0	17	0	15	0	1	0	0	0	0	0
111	Laura/020526.xml	30	3.25	348	130	304	104	19	5	11	9	1	1	0	1	5	2	2	0	1	0	0	0	1	0
112	Laura/020530.xml	30	2.8	339	169	394	127	17	8	8	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0
113	Laura/020603.xml	30	2.8	172	87	248	70	5	1	5	2	0	0	1	0	2	0	1	0	1	0	0	0	0	0
114	Laura/020604.xml	30	3.57	113	40	168	54	2	6	2	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0
115	Laura/020606.xml	30	3.24	165	72	120	37	12	2	1	1	0	0	0	0	4	1	2	0	1	0	0	0	0	0
116	Laura/020607.xml	30	3.6	125	53	174	41	11	4	3	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0
117	Laura/020610.xml	30	3.56	731	269	333	108	28	19	26	24	4	11	0	0	5	1	13	0	1	1	0	0	0	0
118	Laura/020615.xml	30	3.12	200	78	220	55	18	8	2	2	0	1	0	0	1	1	1	0	0	0	0	0	1	0
119	Laura/020616.xml	31	3.64	249	106	288	75	11	3	3	5	0	2	0	0	0	0	1	0	1	0	0	0	0	0
120	Laura/020621.xml	31	3.44	220	99	404	94	11	3	7	3	0	0	1	0	1	0	5	0	1	0	0	0	0	0
121	Laura/020623.xml	31	4.43	186	63	310	63	9	3	2	2	1	0	0	0	3	0	8	0	0	0	0	0	0	0
122	Laura/020624.xml	31	5.42	834	238	1148	255	25	1	16	6	11	4	0	2	42	14	9	0	1	0	1	1	1	0
123	Laura/020708.xml	31	3.15	312	135	433	131	28	5	4	6	0	0	0	0	1	0	12	0	0	0	0	0	2	0
124	Laura/020710.xml	31	3.65	452	178	637	181	27	5	8	7	3	4	0	0	3	1	8	0	1	0	0	1	0	0
125	Laura/020811.xml	32	4.12	515	169	499	152	33	7	12	7	4	0	0	0	3	2	20	0	4	0	2	1	1	0
126	Laura/020814.xml	32	3.48	340	131	212	79	27	6	8	8	0	1	0	1	1	0	7	0	3	0	0	2	0	0
127	Laura/020819.xml	33	4.02	1000	332	1233	318	52	13	19	25	5	4	0	1	3	1	42	0	7	1	1	0	0	0
128	Laura/030000.xml	36	4.18	67	19	87	25	9	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	Laura/030001.xml	36	3.8	127	47	179	44	4	1	1	1	2	0	0	0	0	0	0	0	5	0	0	0	0	0
130	Laura/030006.xml	36	3.85	217	82	210	66	4	0	0	2	0	3	0	1	1	0	1	0	0	0	0	0	0	0
131	Laura/030007.xml	36	2.0	9	5	29	8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	Laura/030008.xml	36	3.49	656	272	478	145	43	1	14	7	0	0	0	0	2	0	2	0	8	0	3	0	0	0
133	Laura/030009.xml	36	3.28	272	114	283	87	16	4	0	4	1	0	0	1	3	0	4	0	1	0	0	0	0	0
134	Laura/030010.xml	36	1.67	9	5	69	11	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	Laura/030018.xml	37	3.95	170	60	274	54	3	3	3	1	0	0	0	0	1	2	1	0	1	0	0	1	0	0
136	Laura/030019.xml	37	2.58	100	54	127	34	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
137	Laura/030022.xml	37	3.19	375	171	177	52	12	10	2	9	3	4	0	0	0	0	13	0	1	0	0	1	0	0
138	Laura/030113.xml	37	6.69	187	44	282	60	7	0	3	4	0	4	0	4	0	0	4	0	0	1	0	0	0	0
139	Laura/030125a.xml	38	4.43	746	246	614	197	56	8	8	9	1	1	1	1	1	0	6	0	3	1	0	0	2	0
140	Laura/030125b.xml	38	4.83	999	308	1671	345	53	8	10	9	1	0	3	1	5	4	15	0	8	0	0	4	3	0
141	Laura/030128.xml	38	4.44	615	209	900	230	39	13	9	11	0	6	1	2	4	3	4	0	4	0	1	1	0	0
142	Laura/030311.xml	39	4.57	1646	517	975	250	56	15	12	37	0	92	29	6	6	3	17	0	5	0	0	0	3	2
143	Laura/030316a.xml	40	4.15	374	122	348	103	23	8	4	7	1	0	0	0	3	0	9	0	2	0	0	0	0	0
144	Laura/030316b.xml	40	2.23	140	91	220	70	3	2	0	1	2	0	0	0	0	1	6	0	0	0	0	0	0	0
145	Laura/030324.xml	40	3.73	597	238	548	165	29	5	4	21	4	5	0	0	1	1	14	0	0	0	0	0	0	0
146	Laura/030422.xml	41	2.93	275	122	641	178	18	1	4	3	2	0	0	0	0	0	6	0	2	0	0	0	0	0
147	Laura/030423.xml	41	4.43	461	152	481	127	32	12	8	2	0	2	1	3	0	2	7	0	1	0	0	0	1	0
148	Laura/030528a.xml	42	2.91	489	234	958	285	30	10	5	8	0	11	3	0	3	2	6	0	2	0	0	5	2	2
149	Laura/030528b.xml	42	4.15	1308	449	412	119	34	5	27	12	7	13	4	4	39	10	11	0	11	2	4	2	1	0
150	Laura/030528c.xml	42	5.08	177	52	41	15	4	0	5	3	2	6	1	2	0	0	2	0	1	0	0	0	1	0
151	Laura/030528d.xml	42	4.77	2444	758	186	68	95	15	49	66	7	3	1	1	5	8	52	0	16	1	0	6	5	3
152	Laura/030528e.xml	42	4.74	2379	739	66	15	75	5	58	27	11	17	2	6	31	26	45	0	22	0	2	7	7	4
153	Laura/030616.xml	43	4.8	982	301	501	119	42	5	33	15	3	11	3	1	5	7	11	0	20	0	4	0	1	0
154	Laura/030617.xml	43	4.67	640	200	522	101	24	2	26	13	5	0	4	0	4	1	11	0	3	0	0	0	2	0
155	Laura/030618a.xml	43	3.83	1975	767	256	62	92	23	23	31	2	26	6	3	17	7	26	0	23	1	3	1	1	0
156	Laura/030618b.xml	43	2.41	129	82	0	0	2	1	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0
157	Laura/030619.xml	43	3.67	1798	703	414	91	60	24	25	50	2	38	2	8	4	7	42	0	18	1	2	2	2	0
158	Laura/030621.xml	43	3.87	88	33	184	46	5	0	0	0	0	0	1	0	3	2	1	0	0	0	0	0	0	0
159	Laura/030622.xml	43	3.79	147	56	2	1	6	2	6	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0
160	Laura/030623.xml	43	5.92	140	37	18	5	5	1	2	4	0	0	0	0	2	0	8	0	2	0	0	4	1	0
161	Laura/030627a.xml	43	3.33	110	45	0	0	4	0	0	3	0	0	1	1	0	1	3	0	1	0	0	0	0	0
162	Laura/030627b.xml	43	6.61	1324	302	1293	304	34	3	41	45	12	12	4	1	3	3	31	0	31	3	10	1	4	0
163	Laura/030628.xml	43	3.71	26	7	22	7	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
