,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Liz/020007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Liz/020014.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Liz/020021.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Liz/020028.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
4,Liz/020104.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Liz/020125.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Liz/020202.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
7,Liz/020209.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Liz/020223.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
9,Liz/020230.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Liz/020313.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Liz/020327.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
12,Liz/020403.xml,0,0,0,0,0,0,0,0,3,0,0,0,0
13,Liz/020410.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Liz/020424.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Liz/020501.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Liz/020515.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Liz/020522.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
18,Liz/020605.xml,0,0,0,3,0,0,0,0,0,0,0,0,0
19,Liz/020612.xml,0,0,0,4,0,0,0,0,0,0,0,0,0
20,Liz/020626.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Liz/020703.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Liz/020717.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Liz/020800.xml,0,0,0,0,0,0,0,2,0,0,0,0,0
24,Liz/020814.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Liz/020821.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Liz/020828.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Liz/020904.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Liz/020918.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Liz/020925.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Liz/021011.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Liz/021018.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
