	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Matt/020310.xml	27	2.99	372	168	1499	220	2	0	0	0	0	0	0	0	0	0	18	0	2	0	0	0	1	0
1	Matt/020317.xml	28	2.96	425	184	2675	322	3	1	1	0	0	0	2	0	0	0	32	0	0	0	0	0	1	0
2	Matt/020323.xml	28	3.68	427	152	1942	262	1	0	0	2	0	1	6	0	0	0	24	0	0	1	0	0	0	0
3	Matt/020400.xml	28	3.0	493	224	2436	345	6	0	1	0	0	0	1	0	0	0	16	0	0	0	0	0	2	0
4	Matt/020407.xml	28	2.89	379	177	2806	357	2	0	1	1	0	0	2	0	0	1	18	0	1	0	0	0	4	0
5	Matt/020428.xml	29	3.51	508	197	2782	361	18	1	2	0	0	2	7	1	0	0	12	0	0	0	0	0	2	0
6	Matt/020504.xml	29	3.56	570	217	2799	376	11	0	7	1	2	5	9	3	0	2	11	0	1	0	0	1	5	0
7	Matt/020510.xml	29	3.64	510	190	2617	310	14	3	0	1	0	1	5	0	0	0	17	0	0	0	0	1	0	0
8	Matt/020518.xml	30	3.39	489	185	1937	276	7	2	3	3	1	0	3	0	0	0	14	0	0	0	0	1	1	0
9	Matt/020611.xml	30	4.23	652	203	2789	322	33	6	2	8	0	11	1	4	0	0	30	0	1	0	1	2	0	0
10	Matt/020707.xml	31	4.69	689	202	3294	364	20	4	5	11	2	15	0	2	0	2	21	0	3	0	0	3	3	0
11	Matt/020722.xml	32	5.03	829	227	2031	291	20	4	0	11	1	33	2	3	0	5	19	0	4	0	0	1	2	0
12	Matt/020805.xml	32	5.76	1016	240	2761	370	52	14	9	34	3	12	3	0	0	2	44	0	3	0	0	0	4	0
13	Matt/020819.xml	33	5.31	927	253	2335	306	19	6	4	8	0	40	9	0	0	2	21	0	5	0	0	1	5	0
14	Matt/020905.xml	33	5.36	560	142	1383	179	19	1	3	11	0	8	1	1	1	2	10	0	2	0	0	0	6	0
15	Matt/020926.xml	34	4.7	397	114	1298	154	15	0	2	3	1	3	3	0	1	4	7	0	2	0	0	1	1	0
16	Matt/030002.xml	36	6.93	1133	240	3200	374	93	10	9	27	4	5	0	3	1	1	11	0	8	2	2	1	0	0
17	Matt/030015.xml	36	5.57	750	191	1974	256	18	2	2	25	2	15	11	2	2	5	16	0	9	1	0	5	1	1
18	Matt/030129.xml	38	4.65	749	218	2620	357	44	1	1	16	6	7	8	3	0	2	12	0	7	0	1	1	0	0
19	Matt/030218.xml	39	5.16	877	237	2732	399	37	4	2	16	1	15	18	2	1	1	14	0	8	0	0	4	3	0
20	Matt/030226.xml	39	5.23	621	173	1575	236	21	4	3	31	6	6	1	0	0	0	27	0	2	0	0	0	1	0
21	Matt/030309.xml	39	5.77	770	189	2298	299	26	4	0	9	5	26	3	6	0	1	17	1	13	0	0	3	4	1
