,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Michelle/020726.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Michelle/021014.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Michelle/021026.xml,0,0,0,2,0,0,0,1,0,0,0,0,0
3,Michelle/021104.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Michelle/030127.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Michelle/030325.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Michelle/030621.xml,0,0,0,0,0,0,0,6,0,0,0,0,0
7,Michelle/031021.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Michelle/031022.xml,0,0,0,0,0,0,0,2,0,0,0,0,0
9,Michelle/031110.xml,0,0,0,1,0,0,0,6,2,0,0,0,0
10,Michelle/040225.xml,0,0,0,2,0,0,0,2,0,0,0,0,0
11,Michelle/040419.xml,0,0,0,0,0,0,0,5,0,0,0,0,0
