	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Naomi/010229.xml	15	2.29	68	41	338	99	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Naomi/010616.xml	19	1.56	747	563	1532	434	1	6	0	2	0	2	0	0	0	0	2	0	0	0	0	4	0	0
2	Naomi/010800.xml	20	1.63	271	201	920	254	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Naomi/010806.xml	20	1.3	197	172	105	38	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	Naomi/010829.xml	21	1.82	101	75	117	31	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Naomi/010907.xml	21	1.75	62	51	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Naomi/010910.xml	21	1.94	64	48	92	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Naomi/010926.xml	22	1.95	38	26	69	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Naomi/011003.xml	22	1.83	288	192	555	113	5	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0
9	Naomi/011010a.xml	22	1.89	281	183	795	175	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
10	Naomi/011010b.xml	22	1.91	367	250	1361	341	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
11	Naomi/011011.xml	22	1.87	387	247	902	180	21	0	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0
12	Naomi/011014.xml	22	1.82	278	179	106	22	14	2	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
13	Naomi/011017.xml	23	2.39	345	162	182	42	9	0	0	2	0	0	0	0	0	0	25	0	0	0	0	0	0	0
14	Naomi/011018.xml	23	1.98	816	465	608	141	51	0	4	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
15	Naomi/011019.xml	23	2.11	259	148	0	0	6	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
16	Naomi/011020.xml	23	2.07	117	62	55	18	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
17	Naomi/011023.xml	23	1.93	167	103	41	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
18	Naomi/011025.xml	23	2.32	291	148	345	94	6	0	14	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0
19	Naomi/011028.xml	23	2.28	386	212	0	0	20	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0
20	Naomi/011102.xml	23	2.37	344	172	121	31	13	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
21	Naomi/011103.xml	23	2.59	400	180	148	33	24	3	1	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0
22	Naomi/011106.xml	23	2.97	592	248	391	100	23	0	1	2	0	4	0	0	0	0	27	0	0	0	0	0	0	0
23	Naomi/011109.xml	23	2.36	279	139	433	112	21	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0
24	Naomi/011111.xml	23	2.56	443	193	126	30	26	1	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
25	Naomi/011112.xml	23	2.62	88	42	123	32	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0
26	Naomi/011116.xml	24	2.39	184	83	50	11	10	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
27	Naomi/011117.xml	24	2.27	149	76	108	26	12	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
28	Naomi/011118.xml	24	2.7	262	114	47	10	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
29	Naomi/011120.xml	24	3.26	273	91	359	71	0	1	0	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0
