	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Nathaniel/020518a.xml	30.0	3.12	801	306	1434	316	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0
1	Nathaniel/020518b.xml	30.0	3.15	3627	1397	7006	1557	6	2	0	2	1	2	1	1	0	0	56	0	5	0	5	0	3	0
2	Nathaniel/020518c.xml	30.0	3.65	1750	622	2894	643	0	1	0	1	1	0	3	1	0	2	43	0	0	0	0	0	1	0
3	Nathaniel/020600a.xml	30.0	4.06	1707	458	2330	553	4	0	2	0	0	0	0	1	0	1	18	0	0	0	5	1	0	1
4	Nathaniel/020600b.xml	30.0	4.07	1169	311	1253	288	3	1	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0
5	Nathaniel/020600c.xml	30.0	3.77	1136	326	1572	375	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0
6	Nathaniel/020603.xml	30.0	3.58	437	147	959	196	1	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0
7	Nathaniel/020616.xml	31.0	3.73	1439	422	2812	578	17	5	0	1	1	0	1	0	0	2	2	0	5	0	11	0	2	0
8	Nathaniel/020622a.xml	31.0	3.67	4435	1484	6892	1542	16	5	5	1	0	3	1	2	1	2	48	0	4	0	13	0	1	0
9	Nathaniel/020622b.xml	31.0	3.59	1137	403	2086	462	7	3	1	0	0	0	1	2	0	1	8	0	1	0	0	0	0	0
10	Nathaniel/020701a.xml	31.0	3.83	915	294	2883	589	0	1	0	1	1	1	0	0	0	0	15	0	0	0	0	0	1	0
11	Nathaniel/020701b.xml	31.0	5.05	1441	363	3311	601	8	0	0	0	0	1	0	0	0	1	13	0	0	0	0	0	1	0
12	Nathaniel/020804a.xml	32.0	4.34	920	254	2304	464	9	2	1	2	2	0	0	0	1	1	8	0	0	0	0	0	6	0
13	Nathaniel/020804b.xml	32.0	3.82	269	83	520	83	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
14	Nathaniel/020819a.xml	33.0	3.8	308	90	437	97	9	1	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
15	Nathaniel/020819b.xml	33.0	3.19	254	80	297	93	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
16	Nathaniel/020819c.xml	33.0	3.74	884	270	2051	390	0	0	1	3	3	8	0	1	1	1	36	0	0	0	0	0	0	0
17	Nathaniel/020819d.xml	33.0	3.94	1576	441	2337	571	15	1	2	4	0	2	0	1	1	1	11	0	2	0	0	1	0	0
18	Nathaniel/021100c.xml		0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
