	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Nina/011116.xml	24	2.26	1483	815	3792	887	0	0	7	1	0	2	0	0	0	0	14	0	0	0	0	0	0	0
1	Nina/011124.xml	24	2.4	1081	567	1884	378	0	0	43	2	0	0	4	0	0	0	11	0	0	0	0	0	0	0
2	Nina/011129.xml	24	2.93	1781	790	3155	606	4	0	108	1	0	1	2	0	0	1	9	0	0	0	0	0	0	0
3	Nina/020003.xml	24	2.54	1371	738	3443	670	0	1	30	0	0	0	7	0	0	0	19	0	0	0	0	0	0	0
4	Nina/020010.xml	24	2.69	849	394	2065	396	2	0	44	1	0	0	0	0	0	7	26	0	1	0	0	2	0	0
5	Nina/020017.xml	25	2.55	575	272	775	163	1	0	26	0	0	0	2	0	0	0	19	0	0	0	0	0	0	0
6	Nina/020024.xml	25	2.76	1698	797	2759	534	1	2	59	6	0	0	13	2	0	1	44	0	0	0	0	0	1	0
7	Nina/020106.xml	25	2.46	1209	582	2293	458	2	7	45	5	0	0	18	1	0	0	11	3	0	0	0	0	0	0
8	Nina/020115.xml	25	2.93	1841	780	2779	532	69	19	64	17	2	1	8	0	0	0	26	0	1	0	0	2	0	0
9	Nina/020122.xml	26	2.99	1589	699	3617	648	50	8	31	15	1	2	17	0	0	0	17	0	0	0	0	0	0	0
10	Nina/020129.xml	26	3.02	1616	687	3773	748	25	7	39	27	7	21	16	0	0	6	10	0	1	0	0	0	1	0
11	Nina/020206.xml	26	3.45	1964	756	3227	633	49	6	44	48	7	36	9	2	3	60	12	0	1	0	0	0	4	0
12	Nina/020212.xml	26	3.23	1880	741	4023	814	38	5	24	10	3	33	17	8	0	21	12	0	3	0	0	0	2	0
13	Nina/020228.xml	27	3.53	1951	715	3935	772	59	24	45	48	22	7	8	2	0	13	13	0	3	0	0	0	4	0
14	Nina/020305.xml	27	4.01	1945	619	4005	750	42	24	52	30	17	12	14	0	0	1	12	0	3	0	0	4	2	0
15	Nina/020314.xml	27	4.52	2433	753	3666	713	59	17	35	49	30	10	8	0	0	48	13	0	1	0	0	2	2	0
16	Nina/020318.xml	28	3.92	2272	742	3345	657	95	18	35	50	31	11	19	2	0	2	22	0	1	0	0	0	1	0
17	Nina/020328.xml	28	4.25	2008	605	3848	723	81	7	66	51	14	9	18	0	1	18	45	0	7	0	0	1	1	3
18	Nina/020406.xml	28	3.51	1644	583	4576	840	68	17	20	13	2	4	5	2	0	4	26	0	3	0	0	4	1	0
19	Nina/020412.xml	28	3.47	611	222	1257	253	32	8	15	15	2	5	0	3	0	9	21	0	0	0	0	0	0	0
20	Nina/020418.xml	29	3.62	586	199	1490	295	36	6	17	10	3	2	3	0	0	0	17	0	0	0	0	0	1	0
21	Nina/020426.xml	29	3.5	2140	796	4622	919	76	19	44	32	14	9	11	0	0	5	37	0	4	0	0	7	8	1
22	Nina/020524.xml	30	3.78	2164	745	4136	837	106	22	13	34	13	15	7	3	3	24	23	0	3	0	0	13	5	0
23	Nina/020525.xml	30	4.35	2210	717	3799	772	57	20	30	18	3	32	26	4	1	27	17	0	3	0	0	12	3	0
24	Nina/020526.xml	30	4.33	2299	692	3750	741	28	10	25	15	11	44	21	6	2	53	25	0	9	0	0	19	4	1
25	Nina/020527.xml	30	3.98	2045	675	4727	884	107	16	30	15	0	17	18	0	1	25	16	0	0	0	2	10	8	3
26	Nina/020528.xml	30	4.33	2025	623	4615	865	68	11	23	19	5	9	6	1	2	86	34	0	0	3	0	9	11	1
27	Nina/020913.xml	33	4.32	1958	724	4304	809	25	14	7	38	5	12	5	6	10	18	15	0	11	1	2	12	12	1
28	Nina/020921.xml	34	4.95	2324	701	4162	767	36	19	33	44	2	26	9	12	12	4	57	0	7	3	1	8	6	0
29	Nina/020926.xml	34	4.66	2440	791	3499	721	39	35	8	22	3	8	7	8	13	20	39	0	10	0	0	19	5	0
30	Nina/021006.xml	34	4.96	2741	847	3525	690	75	19	23	50	13	25	16	12	19	15	36	0	11	3	1	9	5	7
31	Nina/021013.xml	34	4.33	2092	709	3145	633	45	8	9	24	0	18	3	5	6	0	21	0	21	1	1	15	25	2
32	Nina/021021.xml	35	4.96	2579	760	3333	684	52	16	11	36	8	52	15	19	27	25	27	0	15	4	0	18	12	1
33	Nina/021028.xml	35	4.83	2217	662	3620	706	49	12	12	41	11	7	4	0	12	5	66	0	13	10	1	14	13	0
