,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Nina/011124.xml,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,Nina/011129.xml,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
2,Nina/020003.xml,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3,Nina/020010.xml,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
4,Nina/020017.xml,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
5,Nina/020024.xml,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0
6,Nina/020106.xml,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0
7,Nina/020115.xml,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0
8,Nina/020122.xml,0,0,0,0,0,1,4,0,0,0,11,0,0,0,0
9,Nina/020129.xml,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0
10,Nina/020206.xml,0,0,0,0,0,1,4,34,0,0,9,0,7,0,0
11,Nina/020212.xml,0,0,0,0,0,1,7,14,0,0,3,0,3,0,0
12,Nina/020228.xml,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0
13,Nina/020305.xml,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
14,Nina/020314.xml,0,0,0,0,0,5,3,10,0,0,2,0,3,0,0
15,Nina/020318.xml,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0
16,Nina/020328.xml,0,0,0,0,0,1,2,2,0,0,2,0,1,0,0
17,Nina/020406.xml,0,0,0,0,0,2,4,1,0,0,1,0,0,0,0
18,Nina/020412.xml,0,0,0,0,0,1,0,9,0,0,0,0,4,0,0
19,Nina/020418.xml,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
20,Nina/020426.xml,0,0,0,0,0,7,2,5,0,0,6,0,1,0,0
21,Nina/020524.xml,0,0,0,0,0,5,0,4,0,0,0,0,2,0,0
22,Nina/020525.xml,0,0,0,0,0,7,4,7,0,0,2,0,9,0,0
23,Nina/020526.xml,0,0,0,0,0,5,8,25,0,0,0,0,16,0,0
24,Nina/020527.xml,0,0,0,0,0,7,1,4,0,0,2,0,3,0,0
25,Nina/020528.xml,0,0,0,0,0,0,1,46,0,0,1,0,25,0,0
26,Nina/020913.xml,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27,Nina/020921.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Nina/020926.xml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Nina/021006.xml,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30,Nina/021013.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nina/021021.xml,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
32,Nina/021028.xml,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
33,Nina/021106.xml,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
34,Nina/021112.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nina/021116.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Nina/030003.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Nina/030010.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Nina/030016.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Nina/030024.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nina/030104.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Nina/030105.xml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nina/030106.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nina/030107.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Nina/030204.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Nina/030212.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nina/030216.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nina/030224.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Nina/030301.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,Nina/030308.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Nina/030321.xml,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
