	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Peter/010908.xml	21	2.06	1640	1004	866	174	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0
1	Peter/010925.xml	22	1.88	273	182	76	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
2	Peter/011011.xml	22	3.43	3257	1309	341	78	1	0	32	1	1	0	1	0	0	0	52	0	0	0	0	0	0	0
3	Peter/011105.xml	23	1.47	1342	1103	25	6	3	0	3	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0
4	Peter/011117.xml	24	2.98	1665	765	201	34	5	0	3	5	0	0	0	0	0	0	70	0	0	0	0	0	2	0
5	Peter/020010.xml	24	3.1	3152	1376	307	73	8	4	23	10	0	1	0	1	1	0	60	0	1	0	1	1	0	0
6	Peter/020100.xml	25	4.1	4014	1407	732	161	14	12	89	10	1	1	1	0	2	1	73	0	0	0	0	0	0	0
7	Peter/020118.xml	26	4.0	3929	1345	524	99	61	32	24	13	0	0	0	0	0	0	103	0	0	0	0	1	0	0
8	Peter/020213.xml	26	5.46	4566	1234	670	134	89	40	104	19	0	0	0	0	0	3	88	0	2	0	0	0	3	0
9	Peter/020303.xml	27	2.83	2661	1221	360	101	40	17	10	33	1	0	1	0	0	4	65	4	0	1	0	0	0	0
10	Peter/020324.xml	28	4.33	2749	1012	950	182	38	29	40	44	0	0	0	1	5	7	41	0	3	0	1	2	1	0
11	Peter/020415.xml	28	4.69	5959	1783	1339	272	187	28	89	55	2	0	0	1	0	0	182	1	1	0	0	2	11	0
12	Peter/020503.xml	29	4.85	4463	1423	2599	564	150	35	41	49	11	7	0	1	0	1	87	0	6	0	1	2	0	0
13	Peter/020522.xml	30	5.0	6039	2005	1014	208	126	25	81	84	35	7	0	2	3	2	91	1	9	0	1	1	8	0
14	Peter/020616.xml	31	5.82	7060	1895	2085	404	202	23	77	90	57	6	2	5	0	2	179	1	11	0	0	5	5	2
15	Peter/020713.xml	31	5.24	7398	2061	1128	244	193	26	77	128	41	3	1	1	1	8	159	0	2	0	0	4	5	0
16	Peter/020812.xml	32	5.54	9624	2568	1065	205	218	56	92	225	54	6	9	23	4	8	237	2	4	0	1	11	6	2
17	Peter/020915.xml	33	5.65	6416	1704	368	88	197	29	56	108	14	33	6	15	13	9	154	7	1	0	0	6	13	1
18	Peter/021019.xml	35	6.66	9365	2195	1244	271	226	40	54	116	29	25	30	17	18	17	203	2	8	1	1	23	14	10
19	Peter/030120.xml	38	5.42	7627	2164	744	177	234	58	18	162	28	61	7	7	12	4	224	0	39	5	3	29	34	2
