	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Roman/020220.xml	27	3.29	460	194	0	0	4	0	1	0	0	6	0	0	2	0	2	0	0	0	0	10	0	0
1	Roman/020225.xml	27	2.98	211	89	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2	Roman/020501.xml	29	3.43	151	61	0	0	6	1	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0
3	Roman/020507.xml	29	3.63	744	269	0	0	64	1	3	0	0	1	0	2	0	0	8	0	4	0	0	1	0	0
4	Roman/020521.xml	30	4.06	1536	497	0	0	96	6	11	22	0	9	0	5	0	1	12	0	2	0	0	6	0	0
5	Roman/020528.xml	30	4.09	1035	342	0	0	69	20	10	10	0	0	0	0	3	0	30	0	7	0	0	1	0	1
6	Roman/020604.xml	30	5.19	1073	280	32	4	58	5	0	8	1	11	2	0	0	0	33	0	0	0	0	2	4	0
7	Roman/020611.xml	30	5.22	1025	301	0	0	31	0	4	4	0	22	2	0	1	0	14	0	1	0	0	4	0	1
8	Roman/020626.xml	31	4.89	759	225	0	0	21	3	4	4	1	12	1	0	0	1	28	0	0	0	1	2	0	0
9	Roman/020701.xml	31	5.1	1016	276	0	0	43	1	5	21	2	13	0	5	0	0	36	0	9	0	0	5	0	0
10	Roman/020814.xml	32	4.17	702	258	0	0	30	2	5	7	0	4	2	1	1	1	11	0	2	1	0	1	1	0
11	Roman/020820.xml	33	5.07	862	258	0	0	33	3	3	4	0	4	3	6	1	2	12	0	2	0	0	2	1	0
12	Roman/020901.xml	33	4.5	818	282	631	136	24	4	5	4	0	15	3	11	1	0	23	0	4	0	0	5	0	0
13	Roman/020915.xml	33	6.08	993	274	0	0	50	9	10	4	0	14	1	6	0	1	24	0	3	0	1	3	4	0
14	Roman/021001.xml	34	5.26	1205	383	0	0	47	1	7	8	2	10	4	9	0	1	9	0	6	0	0	6	1	3
15	Roman/021015.xml	34	4.81	777	283	0	0	35	10	11	5	1	0	0	0	0	0	9	0	0	0	0	3	2	0
16	Roman/021118.xml	36	4.78	532	171	60	14	29	2	9	8	0	2	0	1	0	0	8	0	1	0	0	3	6	0
17	Roman/030114.xml	37	5.4	611	173	701	150	50	5	6	9	0	1	0	1	3	0	11	0	0	0	0	4	3	0
18	Roman/030124.xml	38	7.41	1661	340	0	0	52	3	13	34	0	38	2	5	3	0	31	1	6	0	1	15	5	0
19	Roman/030220.xml	39	6.01	1393	351	0	0	42	6	14	26	1	14	5	10	0	0	24	0	2	0	0	10	3	2
20	Roman/030306.xml	39	6.9	1496	339	0	0	57	30	13	28	0	2	0	2	3	1	35	0	1	1	1	3	4	0
21	Roman/030417.xml	41	6.99	1439	338	0	0	58	13	5	43	24	4	0	3	3	2	31	2	4	0	0	6	2	1
22	Roman/030501.xml	41	8.67	1672	330	0	0	75	7	0	51	3	9	5	4	0	0	28	2	9	0	0	8	4	0
23	Roman/030529.xml	42	11.15	2003	295	723	155	67	5	6	18	0	49	2	4	3	0	41	3	4	0	0	12	8	0
24	Roman/030619.xml	43	12.11	1691	267	0	0	52	3	13	42	13	24	3	4	2	2	32	1	9	0	0	3	1	0
25	Roman/030904.xml	45	7.23	682	167	0	0	22	2	0	11	0	10	0	2	0	0	13	3	4	0	0	3	0	0
26	Roman/030918.xml	46	7.98	1615	262	0	0	85	8	11	38	0	2	0	6	1	2	46	2	6	5	0	12	9	3
27	Roman/030925.xml	46	9.96	2010	264	222	42	63	5	1	22	1	12	15	17	0	0	43	0	4	0	0	5	2	0
28	Roman/031009.xml	46	9.43	1779	319	0	0	45	11	19	39	3	5	3	1	11	19	62	3	4	0	1	1	0	0
29	Roman/031023.xml	47	6.76	1818	412	0	0	45	5	9	24	3	15	5	3	6	4	42	0	4	0	0	1	4	1
30	Roman/031113.xml	47	5.6	1320	377	0	0	70	2	5	8	2	15	2	6	1	1	16	0	6	0	7	9	3	0
31	Roman/031128.xml	48	5.4	887	285	0	0	52	9	3	15	0	9	2	1	4	3	13	0	1	0	0	0	0	0
32	Roman/040119.xml	50	8.44	1979	306	74	14	77	12	28	33	0	0	1	0	0	3	46	0	12	0	0	8	5	4
33	Roman/040203.xml	50	9.38	1932	337	0	0	62	10	24	58	23	0	1	0	9	9	92	1	10	0	0	10	2	0
34	Roman/040217.xml	51	9.2	1989	350	1501	256	66	10	3	31	0	28	10	16	15	4	29	1	4	0	0	18	1	0
35	Roman/040317.xml	52	8.52	1420	259	0	0	66	9	15	18	4	13	0	2	6	4	31	0	3	0	0	11	2	1
36	Roman/040400.xml	52	7.17	903	208	1102	168	54	2	5	10	0	1	0	2	4	2	18	0	0	0	0	1	0	0
37	Roman/040416.xml	53	8.38	1560	317	1667	250	82	6	6	18	2	5	0	2	1	3	45	0	11	0	0	9	4	2
38	Roman/040426.xml	53	5.97	814	223	1609	225	57	8	2	39	3	0	0	0	3	0	21	0	3	1	0	3	3	0
39	Roman/040504.xml	53	6.07	411	96	499	92	26	0	2	6	0	1	2	1	0	0	8	1	4	0	0	5	0	0
40	Roman/040611.xml	54	5.63	2117	571	0	0	129	4	8	10	0	26	3	9	0	3	60	0	7	0	0	10	2	1
41	Roman/040720.xml	56	5.93	1229	337	0	0	79	3	13	31	2	8	4	0	2	0	20	0	5	0	0	10	1	0
