	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Sarah/020305.xml	27	2.03	235	125	267	102	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	Sarah/020307.xml	27	2.07	582	319	753	286	21	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2	Sarah/020319.xml	28	1.83	659	417	598	179	4	3	14	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3	Sarah/020322.xml	28	2.0	241	148	529	151	8	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	Sarah/020326.xml	28	1.72	291	213	791	231	12	4	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Sarah/020328.xml	28	2.04	461	274	1039	319	8	0	9	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0
6	Sarah/020410.xml	28	1.9	518	324	1472	416	7	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Sarah/020412.xml	28	2.22	737	388	1030	257	32	19	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Sarah/020417.xml	29	1.81	404	258	1172	291	14	6	6	4	1	3	0	0	0	0	1	0	0	0	0	0	0	0
9	Sarah/020419.xml	29	1.83	709	460	439	117	14	15	30	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10	Sarah/020426.xml	29	1.99	600	340	849	216	20	11	12	5	1	1	0	0	0	0	3	0	0	0	0	0	0	0
11	Sarah/020507.xml	29	1.91	534	306	1064	311	45	10	17	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Sarah/020515.xml	29	2.03	520	303	865	222	14	1	47	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0
13	Sarah/020525.xml	30	2.53	394	188	462	113	20	2	39	8	1	0	0	0	0	0	19	0	0	0	0	0	0	0
14	Sarah/020530.xml	30	2.01	590	346	459	140	27	3	10	4	0	3	0	0	0	0	2	0	0	0	0	0	0	0
15	Sarah/020604.xml	30	1.59	272	198	438	122	6	1	2	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0
16	Sarah/020613.xml	30	1.9	797	464	250	71	11	5	11	2	0	33	1	0	0	0	13	0	0	0	0	0	0	0
17	Sarah/020620.xml	31	2.23	890	489	232	78	50	9	30	12	3	1	0	0	0	1	14	0	0	0	0	0	0	0
18	Sarah/020630.xml	31	2.0	188	101	169	56	8	0	7	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
19	Sarah/020705.xml	31	2.0	474	282	1176	357	22	2	13	5	0	5	0	0	1	0	9	0	0	0	0	0	0	0
20	Sarah/020712.xml	31	2.5	748	374	501	121	45	8	25	10	0	12	5	0	0	0	3	0	1	0	0	0	0	0
21	Sarah/020718.xml	32	2.24	318	181	676	196	7	6	22	4	0	2	0	0	0	1	1	0	0	0	0	0	1	0
22	Sarah/020728.xml	32	2.37	542	290	1235	333	15	7	24	24	0	2	0	0	0	0	7	0	0	0	0	0	0	0
23	Sarah/020802.xml	32	2.43	690	348	699	193	31	16	36	16	3	6	0	0	0	1	2	0	0	0	0	0	0	0
24	Sarah/020825a.xml	33	2.67	638	288	846	223	17	14	13	15	0	16	8	0	0	0	6	0	0	0	0	0	0	0
