	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	She/010718.xml	20	2.23	592	319	1355	405	4	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	She/010816.xml	21	2.49	625	294	1749	430	14	8	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	She/010920.xml	22	3.18	638	261	2103	446	26	1	0	4	0	4	0	0	1	3	15	0	1	0	0	0	1	0
3	She/011024.xml	23	2.97	496	225	1532	355	22	9	0	2	0	1	0	0	1	4	11	0	0	0	0	0	0	0
4	She/011120.xml	24	2.86	585	253	1418	431	19	6	2	2	0	1	0	0	1	1	18	0	0	0	0	1	3	0
5	She/020021.xml	25	3.48	219	84	1903	497	10	4	3	1	0	3	1	2	0	2	3	0	0	0	0	0	0	0
6	She/020125.xml	26	2.9	623	267	2086	540	31	5	4	3	1	3	0	0	1	1	15	0	0	0	0	0	0	0
7	She/020225.xml	27	3.31	865	329	1406	409	27	7	5	3	0	3	3	0	3	0	36	0	2	0	0	4	0	0
8	She/020401.xml	28	3.48	1242	438	1850	595	56	10	10	6	0	16	0	2	0	3	72	0	1	0	0	5	3	0
9	She/020508.xml	29	3.54	870	292	2500	601	58	25	9	4	0	2	2	0	0	0	30	0	3	0	0	2	1	0
