	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Shem/020216.xml	27	4.78	1463	447	129	21	68	1	4	19	2	0	0	0	0	0	36	0	5	0	0	6	0	0
1	Shem/020223.xml	27	5.48	1615	462	611	76	40	0	2	6	0	2	0	0	0	1	37	0	1	0	0	6	1	0
2	Shem/020302.xml	27	5.99	1975	504	79	18	133	5	12	9	0	6	0	0	2	0	69	0	5	0	0	1	0	0
3	Shem/020316.xml	28	6.25	1645	459	388	61	73	0	24	6	0	2	0	1	0	3	28	0	4	0	0	6	0	0
4	Shem/020321.xml	28	6.63	1861	455	66	13	55	0	15	4	1	3	1	0	2	0	42	0	1	0	0	1	1	0
5	Shem/020328.xml	28	5.41	2017	592	199	37	54	2	16	8	0	9	4	0	2	0	22	0	6	0	0	7	0	1
6	Shem/020404.xml	28	7.07	1861	446	115	16	75	1	21	13	2	2	0	0	1	0	58	0	2	0	0	1	1	0
7	Shem/020420.xml	29	4.75	1459	414	127	18	46	2	7	6	2	5	0	0	0	0	63	0	2	0	0	1	0	0
8	Shem/020425.xml	29	6.53	1978	423	102	14	45	14	23	3	8	2	0	0	4	1	54	0	6	0	0	0	0	0
9	Shem/020502.xml	29	4.94	990	349	113	17	27	3	9	4	3	5	0	0	0	0	40	0	0	0	0	0	0	0
10	Shem/020509.xml	29	6.51	1383	376	9	3	35	5	14	4	5	32	4	0	0	0	20	0	0	0	0	4	0	0
11	Shem/020516.xml	30	6.88	2375	558	80	15	141	7	27	37	6	4	1	0	4	2	89	0	4	0	1	1	0	0
12	Shem/020523.xml	30	7.51	2808	608	87	7	62	7	22	13	0	37	5	4	9	1	40	0	4	0	2	6	0	0
13	Shem/020530.xml	30	6.49	1826	393	251	30	71	5	15	19	5	5	1	10	4	6	45	0	3	1	0	1	1	0
14	Shem/020606.xml	30	6.4	1440	341	0	0	45	2	2	16	16	11	2	6	0	0	37	0	3	0	0	0	0	0
15	Shem/020627.xml	31	6.89	2328	520	2684	399	53	26	12	43	1	31	5	8	9	1	41	0	11	0	0	10	0	3
16	Shem/020710.xml	31	7.33	2231	460	0	0	65	8	19	36	3	12	3	9	6	1	53	0	4	1	0	17	1	1
17	Shem/020718.xml	32	10.82	3055	408	195	28	85	8	26	46	24	3	0	1	0	0	91	0	21	0	0	3	0	0
18	Shem/020726.xml	32	8.33	2816	466	0	0	99	1	14	45	3	6	0	3	3	2	56	0	4	0	0	4	2	0
19	Shem/020803.xml	32	6.85	2974	606	34	8	161	5	29	65	6	4	0	2	1	0	85	0	11	1	0	8	1	0
20	Shem/020815a.xml	32	6.38	910	232	6	1	9	0	2	5	1	31	7	7	3	1	18	0	2	0	0	8	1	0
21	Shem/020815b.xml	32	5.86	1023	254	62	12	43	0	2	6	1	16	1	7	0	1	28	0	1	0	0	10	3	0
22	Shem/020820a.xml	33	6.35	1419	317	302	59	103	2	10	34	9	1	0	0	0	0	45	0	2	0	0	2	0	0
23	Shem/020820b.xml	33	5.86	822	231	17	2	32	0	10	5	5	16	1	8	3	0	12	0	1	0	2	4	0	0
24	Shem/020829.xml	33	6.33	1490	356	4	3	45	3	16	27	8	5	0	1	3	2	31	0	4	0	0	3	2	0
25	Shem/020901.xml	33	5.45	1090	286	283	63	38	3	7	34	1	3	2	0	3	2	24	0	1	0	0	1	0	0
26	Shem/020910.xml	33	5.51	1120	290	546	106	42	2	4	31	1	1	0	0	0	0	54	0	14	0	2	0	0	0
27	Shem/020919.xml	34	4.32	897	300	718	186	25	1	1	41	0	0	0	0	0	0	38	0	1	0	0	0	1	0
28	Shem/020927a.xml	34	7.82	1352	284	0	0	55	0	28	21	1	28	1	2	3	0	38	0	4	0	0	4	2	0
29	Shem/020927b.xml	34	6.15	1443	328	0	0	80	2	16	48	1	13	1	0	2	0	42	0	11	0	0	3	1	0
30	Shem/021002a.xml	34	7.61	1114	230	1	1	33	4	13	26	0	21	1	2	1	1	34	0	12	3	0	16	1	0
31	Shem/021002b.xml	34	9.68	1417	224	6	2	18	1	5	16	3	42	0	1	0	0	55	0	4	0	3	20	0	0
32	Shem/021014.xml	34	5.58	889	230	721	184	43	1	5	24	1	3	1	4	3	1	29	0	8	0	0	4	2	0
33	Shem/021025a.xml	35	6.06	896	218	1223	309	15	2	6	22	3	10	0	5	1	0	30	0	5	0	0	10	1	1
34	Shem/021025b.xml	35	5.65	1012	267	324	76	35	0	18	7	1	3	0	0	0	0	19	0	12	1	1	0	0	0
35	Shem/021101a.xml	35	6.81	877	210	0	0	33	2	9	22	0	17	0	5	0	0	27	0	8	0	1	6	3	1
36	Shem/021101b.xml	35	5.59	606	179	0	0	18	5	0	24	1	1	0	1	1	0	26	0	7	0	0	4	2	0
37	Shem/021110a.xml	35	6.47	1316	321	63	14	9	6	3	21	0	29	1	1	1	0	28	0	6	0	1	28	1	2
38	Shem/021110b.xml	35	5.87	935	245	0	0	33	3	8	26	1	3	0	1	5	1	33	0	4	0	0	2	0	0
