	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Tow/010705.xml	19	1.86	308	197	3427	872	11	3	2	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0
1	Tow/010804.xml	20	2.43	684	372	3068	830	16	1	1	2	0	5	0	0	1	1	6	0	0	0	0	4	0	0
2	Tow/010909.xml	21	2.86	828	385	3098	818	41	6	0	4	0	7	1	1	2	6	16	0	2	0	0	2	0	0
3	Tow/011015.xml	22	2.8	437	206	3551	804	13	11	2	3	0	4	2	0	0	3	8	0	0	0	0	3	0	0
4	Tow/011121.xml	24	3.34	911	354	3070	753	57	3	19	2	2	3	2	0	1	6	33	0	1	0	0	1	0	1
5	Tow/020024.xml	25	2.82	767	352	3114	880	29	8	14	2	3	2	1	0	0	12	18	0	1	0	0	0	0	0
6	Tow/020122.xml	26	3.21	741	286	3628	844	36	5	4	8	0	3	10	8	1	5	6	0	0	0	0	7	1	0
7	Tow/020227.xml	27	3.88	760	268	2714	595	67	3	5	4	0	9	1	10	1	1	6	0	7	0	0	3	0	0
8	Tow/020324.xml	28	3.94	789	295	2825	597	39	7	5	1	0	3	1	1	1	0	22	0	0	0	0	3	0	0
9	Tow/020503.xml	29	5.08	1438	376	2384	627	101	6	26	8	1	11	3	16	3	22	29	0	2	0	1	0	2	1
