	file	Age	MLU	words	sents	input_words	input_sents	I	me	my	you	your	he	him	his	she	her	it	its	we	us	our	they	them	their
0	Trevor/020027.xml	25	4.64	816	264	0	0	19	2	19	8	5	5	0	6	0	0	8	0	6	0	1	1	0	0
1	Trevor/020028.xml	25	4.79	1084	297	0	0	21	7	20	3	5	6	0	4	0	0	9	1	1	0	0	3	1	0
2	Trevor/020029.xml	25	4.3	1113	362	0	0	26	1	19	21	12	0	0	0	3	0	6	0	14	0	2	1	2	0
3	Trevor/020105.xml	25	5.33	990	326	0	0	22	2	10	7	3	30	3	1	0	0	12	0	13	0	0	0	0	0
4	Trevor/020604.xml	30	5.87	1211	308	0	0	37	2	16	10	4	3	0	0	0	3	15	0	23	0	10	3	0	0
5	Trevor/020605.xml	30	5.94	1305	321	0	0	18	1	5	17	4	16	4	7	1	1	5	0	2	0	0	7	1	3
6	Trevor/020607.xml	30	5.41	987	306	0	0	18	3	3	13	1	2	0	0	0	0	11	0	9	0	2	1	0	0
7	Trevor/020612.xml	30	4.9	1041	315	0	0	15	1	5	15	6	1	0	0	0	1	5	0	11	0	5	3	0	1
8	Trevor/020803.xml	32	5.86	1181	302	0	0	15	1	6	10	5	6	1	27	1	4	8	0	10	0	1	8	0	0
9	Trevor/020805.xml	32	5.52	1131	293	0	0	27	4	13	21	4	0	0	2	2	5	12	0	10	0	0	0	0	0
10	Trevor/020807.xml	32	6.72	1407	337	0	0	22	3	7	25	5	34	4	20	0	0	9	0	4	0	4	3	0	0
11	Trevor/020810.xml	32	5.96	1104	286	0	0	26	2	17	34	2	13	5	1	0	0	15	0	4	0	0	2	1	1
12	Trevor/021004.xml	34	5.74	969	271	0	0	20	7	3	23	6	13	6	2	0	0	35	0	8	0	1	2	1	0
13	Trevor/021111.xml	35	5.93	899	246	0	0	23	10	6	11	3	7	0	2	2	1	25	2	7	2	1	0	0	0
14	Trevor/021114.xml	35	5.52	781	228	0	0	27	7	0	14	0	2	5	0	5	1	23	0	10	0	0	0	0	0
15	Trevor/030007.xml	36	7.1	1001	192	0	0	9	7	15	27	7	28	1	18	0	0	22	3	7	0	1	8	1	2
16	Trevor/030008.xml	36	6.17	881	199	0	0	23	7	9	17	3	3	3	12	0	0	23	1	13	0	0	1	0	1
17	Trevor/030009.xml	36	4.44	557	175	0	0	9	3	1	12	1	0	0	0	0	0	12	3	6	0	2	2	0	1
18	Trevor/030117.xml	38	8.12	1228	215	0	0	24	8	39	8	7	11	0	2	2	5	19	5	25	3	18	0	1	0
19	Trevor/030304.xml	39	5.67	1077	304	0	0	25	5	2	29	3	6	1	2	0	1	34	0	12	2	1	25	1	2
20	Trevor/030312.xml	39	4.91	834	257	0	0	18	1	2	38	9	3	0	1	0	1	22	0	7	2	1	3	0	0
21	Trevor/031022.xml	47	4.28	702	243	0	0	21	10	7	33	5	0	0	0	0	0	32	0	2	0	3	0	1	1
22	Trevor/031023.xml	47	6.99	1226	263	0	0	19	13	9	35	6	6	1	1	0	0	8	0	6	3	9	15	1	2
23	Trevor/031024.xml	47	6.78	962	201	0	0	22	7	2	27	1	9	1	2	0	0	13	0	12	2	3	1	1	0
24	Trevor/031127a.xml	48	5.55	857	230	0	0	19	14	2	17	3	5	0	1	1	0	18	0	11	0	0	2	3	0
25	Trevor/031127b.xml	48	5.3	879	236	0	0	22	14	5	10	4	0	0	0	0	0	24	0	11	0	3	4	0	4
