,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Trevor/020028.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Trevor/020029.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Trevor/020105.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Trevor/020604.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Trevor/020605.xml,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
5,Trevor/020607.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Trevor/020612.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Trevor/020803.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Trevor/020805.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Trevor/020807.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,Trevor/020810.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Trevor/021004.xml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Trevor/021111.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Trevor/021114.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Trevor/030007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Trevor/030008.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
16,Trevor/030009.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Trevor/030117.xml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Trevor/030304.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Trevor/030312.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Trevor/031022.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Trevor/031023.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Trevor/031024.xml,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Trevor/031127a.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Trevor/031127b.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
